Variables,Step0,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41,Step42,Step43,Step44,Step45,Step46
"FORMIC ACID,aq",8.2615E-13,8.2615E-13,8.2615E-13,8.2615E-13,8.2619E-13,8.2656E-13,8.3030E-13,8.6851E-13,1.3546E-12,1.5827E-11,6.7932E-11,1.3183E-09,1.9517E-09,5.4393E-09,5.5335E-09,1.8657E-08,2.5977E-08,2.0430E-07,1.0932E-06,1.0935E-06,1.1194E-06,4.5181E-06,4.7593E-06,1.5714E-05,3.0425E-05,3.0405E-05,1.2376E-05,1.2228E-05,1.2197E-05,5.7639E-06,5.7638E-06,5.7092E-06,2.8850E-06,2.1033E-06,2.1002E-06,1.2004E-06,7.3854E-07,7.3130E-07,4.4696E-07,4.4517E-07,1.1102E-07,4.8237E-08,4.8230E-08,4.8215E-08,4.7794E-08,4.8634E-08,4.8634E-08
"CO2,aq",4.2954E-13,4.2954E-13,4.2954E-13,4.2954E-13,4.2956E-13,4.2977E-13,4.3184E-13,4.5312E-13,7.3018E-13,1.0992E-11,5.8463E-11,2.0773E-09,3.3893E-09,1.2445E-08,1.2727E-08,6.3011E-08,9.7847E-08,1.6190E-06,1.7877E-05,1.7884E-05,1.8423E-05,1.2210E-04,1.3164E-04,8.2099E-04,2.6149E-03,2.6201E-03,5.5360E-03,5.6293E-03,5.6482E-03,8.0819E-03,8.0820E-03,8.1222E-03,9.2466E-03,9.3653E-03,9.3648E-03,9.2162E-03,9.1313E-03,9.1339E-03,9.1863E-03,9.1858E-03,9.0965E-03,9.0855E-03,9.0854E-03,9.0852E-03,9.0796E-03,9.0812E-03,9.0812E-03
MgHCO3+,4.0906E-13,4.0906E-13,4.0906E-13,4.0906E-13,4.0908E-13,4.0920E-13,4.1043E-13,4.2289E-13,5.6930E-13,3.1530E-12,9.2064E-12,9.3198E-11,1.2811E-10,2.9778E-10,3.0214E-10,8.4374E-10,1.1171E-09,6.6540E-09,3.0170E-08,3.0176E-08,3.0697E-08,9.0017E-08,9.3858E-08,2.4871E-07,4.2793E-07,4.2857E-07,7.0730E-07,7.1374E-07,7.1503E-07,7.8240E-07,7.8240E-07,7.8045E-07,6.0371E-07,5.3810E-07,5.3803E-07,5.1460E-07,5.0069E-07,5.0425E-07,7.2590E-07,7.2579E-07,6.9977E-07,6.8710E-07,6.8708E-07,6.8706E-07,6.8628E-07,6.4545E-07,6.4545E-07
H+,3.6825E-13,3.6825E-13,3.6825E-13,3.6825E-13,3.6826E-13,3.6839E-13,3.6968E-13,3.8278E-13,5.3976E-13,3.5937E-12,1.1059E-11,1.1107E-10,1.5111E-10,3.4116E-10,3.4606E-10,9.2650E-10,1.2022E-09,5.7738E-09,1.9874E-08,1.9878E-08,2.0215E-08,5.4862E-08,5.6920E-08,1.3077E-07,2.1041E-07,2.1046E-07,2.3264E-07,2.3708E-07,2.3800E-07,4.6210E-07,4.6211E-07,4.7154E-07,1.4219E-06,2.1896E-06,2.1896E-06,2.1752E-06,2.1677E-06,2.2173E-06,6.1764E-06,6.1760E-06,6.0808E-06,6.0291E-06,6.0290E-06,6.0289E-06,6.0259E-06,5.8053E-06,5.8053E-06
MgHSiO3+,3.1707E-13,3.1707E-13,3.1707E-13,3.1707E-13,3.1708E-13,3.1712E-13,3.1755E-13,3.2180E-13,3.6731E-13,7.8265E-13,1.2536E-12,3.4581E-12,3.9722E-12,5.6553E-12,5.6840E-12,8.3529E-12,9.3573E-12,2.0077E-11,3.6551E-11,3.6555E-11,3.6830E-11,5.3453E-11,5.4021E-11,6.5055E-11,7.3524E-11,7.3527E-11,7.4829E-11,7.6653E-11,7.7031E-11,1.8687E-10,1.8688E-10,1.9234E-10,1.1550E-09,2.8005E-09,2.8007E-09,2.8909E-09,2.9484E-09,3.0673E-09,2.2924E-08,2.2929E-08,2.4374E-08,2.5487E-08,2.5487E-08,2.5488E-08,2.5514E-08,3.0827E-08,3.0827E-08
"HCl,aq",2.0462E-13,2.0462E-13,2.0462E-13,2.0462E-13,2.0463E-13,2.0469E-13,2.0528E-13,2.1125E-13,2.8072E-13,1.4077E-12,3.8173E-12,3.3479E-11,4.5393E-11,1.0275E-10,1.0420E-10,2.8647E-10,3.8032E-10,2.4266E-09,1.2248E-08,1.2252E-08,1.2534E-08,5.1398E-08,5.4303E-08,2.1346E-07,6.0422E-07,6.0460E-07,8.0431E-07,8.2769E-07,8.3256E-07,2.4098E-06,2.4099E-06,2.4931E-06,1.9995E-05,5.4063E-05,5.4075E-05,5.8117E-05,6.0731E-05,6.3368E-05,5.3066E-04,5.3084E-04,5.8814E-04,6.3314E-04,6.3316E-04,6.3319E-04,6.3423E-04,8.5682E-04,8.5682E-04
Fe(For)+,1.6243E-13,1.6243E-13,1.6243E-13,1.6243E-13,1.6243E-13,1.6247E-13,1.6290E-13,1.6722E-13,2.1660E-13,9.0825E-13,2.1191E-12,1.1484E-11,1.4260E-11,2.4883E-11,2.5120E-11,4.7676E-11,5.6234E-11,1.4598E-10,2.8804E-10,2.8807E-10,2.9030E-10,4.1806E-10,4.2197E-10,4.5692E-10,3.7113E-10,3.7034E-10,6.5149E-11,6.4065E-11,6.3841E-11,2.4373E-11,2.4373E-11,2.3952E-11,7.4623E-12,4.3432E-12,4.3346E-12,2.1233E-12,1.1999E-12,1.1914E-12,8.0644E-13,8.0277E-13,1.7920E-13,7.4500E-14,7.4482E-14,7.4450E-14,7.3491E-14,6.4331E-14,6.4331E-14
"FORMALDEHYDE,aq",5.0665E-15,5.0665E-15,5.0665E-15,5.0665E-15,5.0667E-15,5.0691E-15,5.0925E-15,5.3329E-15,8.4032E-15,1.0133E-13,4.3338E-13,7.8792E-12,1.1495E-11,3.0637E-11,3.1141E-11,9.8015E-11,1.3350E-10,8.8197E-10,3.8679E-09,3.8691E-09,3.9667E-09,1.6114E-08,1.6924E-08,4.8600E-08,7.8889E-08,7.8645E-08,6.8873E-09,6.6334E-09,6.5821E-09,1.1489E-09,1.1488E-09,1.1250E-09,2.8739E-10,1.5352E-10,1.5308E-10,5.1076E-11,1.9564E-11,1.9174E-11,6.7712E-12,6.7172E-12,4.1907E-13,7.8682E-14,7.8658E-14,7.8613E-14,7.7292E-14,7.7437E-14,7.7437E-14
"HFeO2,aq",3.3595E-15,3.3595E-15,3.3595E-15,3.3595E-15,3.3597E-15,3.3612E-15,3.3765E-15,3.5333E-15,5.5176E-15,5.9422E-14,2.2563E-13,2.8405E-12,3.8963E-12,8.6802E-12,8.7918E-12,2.1355E-11,2.6990E-11,1.0389E-10,2.5488E-10,2.5490E-10,2.5672E-10,3.6344E-10,3.6703E-10,4.2966E-10,4.4114E-10,4.4131E-10,5.6448E-10,5.6648E-10,5.6689E-10,6.4804E-10,6.4803E-10,6.4341E-10,4.2449E-10,3.5464E-10,3.5477E-10,4.1995E-10,5.0424E-10,5.0151E-10,3.9480E-10,3.9545E-10,7.4659E-10,1.1214E-09,1.1214E-09,1.1215E-09,1.1228E-09,1.0984E-09,1.0984E-09
"CO,aq",1.1355E-15,1.1355E-15,1.1355E-15,1.1355E-15,1.1355E-15,1.1361E-15,1.1422E-15,1.2048E-15,2.0438E-15,4.0712E-14,2.5527E-13,1.2817E-11,2.1954E-11,9.1578E-11,9.3821E-11,5.3562E-10,8.6976E-10,1.9826E-08,2.9066E-07,2.9080E-07,3.0211E-07,3.1182E-06,3.4100E-06,2.8667E-05,1.0892E-04,1.0890E-04,5.4763E-05,5.4561E-05,5.4516E-05,3.5192E-05,3.5192E-05,3.5200E-05,3.1861E-05,3.0317E-05,3.0276E-05,1.7944E-05,1.1279E-05,1.1264E-05,1.0494E-05,1.0454E-05,2.7164E-06,1.2137E-06,1.2135E-06,1.2132E-06,1.2035E-06,1.3680E-06,1.3680E-06
