Variables,Step0,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41,Step42,Step43,Step44,Step45,Step46
"CO2,aq",9.4471E-07,9.4471E-07,9.4471E-07,9.4474E-07,9.4508E-07,9.4845E-07,9.8275E-07,1.3968E-06,1.0149E-05,1.7328E-05,1.7330E-05,1.8675E-05,3.0446E-05,2.1210E-04,3.8345E-04,9.2765E-04,9.4314E-04,2.4486E-03,2.9806E-03,1.5182E-02,5.3417E-02,7.2320E-02,1.2345E-01,1.8446E-01,2.0005E-01,2.0005E-01,2.0355E-01,2.1237E-01,2.1269E-01,2.1596E-01,2.1621E-01,2.1741E-01,2.2525E-01,2.2626E-01,2.2626E-01,2.2625E-01,2.2091E-01,2.1533E-01,2.1533E-01,2.1532E-01,2.1532E-01,2.1532E-01,2.1531E-01,2.1530E-01,2.1528E-01,2.1537E-01,2.1537E-01
"KOH,aq",5.0252E-07,5.0252E-07,5.0252E-07,5.0252E-07,5.0255E-07,5.0282E-07,5.0548E-07,5.3204E-07,6.8451E-07,7.2450E-07,7.2451E-07,7.3034E-07,7.6733E-07,8.8337E-07,9.0539E-07,9.1283E-07,9.1225E-07,8.9175E-07,8.8963E-07,8.6314E-07,7.7244E-07,7.3157E-07,6.2778E-07,4.8718E-07,4.3568E-07,4.3567E-07,4.3078E-07,3.8918E-07,3.8568E-07,3.4809E-07,3.4374E-07,3.2312E-07,1.5855E-07,1.2083E-07,1.2083E-07,1.2083E-07,1.2113E-07,1.2266E-07,1.2265E-07,1.2265E-07,1.2265E-07,1.2265E-07,1.2265E-07,1.2265E-07,1.2265E-07,1.2948E-07,1.2948E-07
"FORMIC ACID,aq",6.7269E-08,6.7269E-08,6.7269E-08,6.7272E-08,6.7296E-08,6.7534E-08,6.9958E-08,9.9061E-08,6.8404E-07,1.1485E-06,1.1487E-06,1.2422E-06,2.0683E-06,1.5417E-05,2.8379E-05,6.9383E-05,7.0495E-05,1.8059E-04,2.2025E-04,1.1567E-03,3.9294E-03,5.1299E-03,7.5387E-03,7.5474E-03,6.3659E-03,6.3654E-03,5.5103E-03,1.0878E-03,1.0552E-03,7.3532E-04,7.2270E-04,6.6269E-04,2.0260E-04,1.1349E-04,1.1347E-04,1.1332E-04,5.6808E-05,1.3182E-06,1.3181E-06,1.3179E-06,1.3176E-06,1.3172E-06,1.3168E-06,1.3159E-06,1.3147E-06,1.4381E-06,1.4381E-06
"FeO,aq",8.2759E-09,8.2759E-09,8.2759E-09,8.2760E-09,8.2769E-09,8.2863E-09,8.3801E-09,9.3637E-09,1.7340E-08,2.0463E-08,2.0464E-08,2.0975E-08,2.4643E-08,4.6831E-08,5.6974E-08,7.5803E-08,7.6186E-08,1.0258E-07,1.0919E-07,1.8323E-07,2.7185E-07,2.9942E-07,3.5716E-07,4.1078E-07,4.2002E-07,4.2001E-07,4.0137E-07,2.4646E-07,2.4430E-07,2.1998E-07,2.1673E-07,2.0127E-07,7.2424E-08,3.9941E-08,3.9939E-08,3.9926E-08,3.4798E-08,3.0592E-08,3.0590E-08,3.0589E-08,3.0586E-08,3.0584E-08,3.0581E-08,3.0575E-08,3.0566E-08,3.0738E-08,3.0738E-08
HFeO2-,6.9839E-09,6.9839E-09,6.9840E-09,6.9839E-09,6.9834E-09,6.9785E-09,6.9297E-09,6.4741E-09,4.6296E-09,4.2922E-09,4.2921E-09,4.2464E-09,3.9756E-09,3.2861E-09,3.1700E-09,2.6986E-09,2.6746E-09,1.9674E-09,1.9378E-09,2.7129E-09,4.1414E-09,4.3370E-09,4.0708E-09,3.2267E-09,3.4892E-09,3.4891E-09,3.3997E-09,2.6236E-09,2.6080E-09,2.4704E-09,2.4547E-09,2.3974E-09,1.1275E-08,4.0895E-07,4.0900E-07,4.0940E-07,5.9818E-07,1.5392E-06,1.5393E-06,1.5394E-06,1.5397E-06,1.5399E-06,1.5402E-06,1.5409E-06,1.5417E-06,1.4551E-05,1.4551E-05
"NaHSiO3,aq",6.9652E-09,6.9652E-09,6.9652E-09,6.9652E-09,6.9649E-09,6.9628E-09,6.9418E-09,6.7360E-09,5.6632E-09,5.3965E-09,5.3964E-09,5.3582E-09,5.1129E-09,4.1996E-09,3.9331E-09,3.5037E-09,3.4942E-09,3.0191E-09,2.9362E-09,2.3559E-09,1.9125E-09,1.7843E-09,1.5020E-09,1.1568E-09,1.0392E-09,1.0392E-09,1.0269E-09,9.2966E-10,9.4137E-10,1.0877E-09,1.1082E-09,1.2163E-09,4.7869E-09,1.3190E-08,1.3190E-08,1.3189E-08,1.3130E-08,1.3491E-08,1.3490E-08,1.3490E-08,1.3490E-08,1.3490E-08,1.3490E-08,1.3490E-08,1.3490E-08,1.5211E-08,1.5211E-08
"HCl,aq",1.7394E-09,1.7394E-09,1.7394E-09,1.7394E-09,1.7398E-09,1.7440E-09,1.7859E-09,2.2589E-09,8.5638E-09,1.2353E-08,1.2355E-08,1.3051E-08,1.8719E-08,8.1625E-08,1.2986E-07,2.6058E-07,2.6390E-07,5.6326E-07,6.6281E-07,2.7529E-06,9.5417E-06,1.3525E-05,2.8924E-05,8.2582E-05,1.3591E-04,1.3592E-04,1.4050E-04,1.8019E-04,1.8345E-04,2.2605E-04,2.3208E-04,2.6470E-04,1.8073E-03,7.0816E-03,7.0818E-03,7.0833E-03,7.6846E-03,9.2563E-03,9.2565E-03,9.2566E-03,9.2569E-03,9.2572E-03,9.2575E-03,9.2582E-03,9.2592E-03,1.3908E-02,1.3908E-02
H+,7.7883E-10,7.7883E-10,7.7883E-10,7.7885E-10,7.7907E-10,7.8126E-10,8.0350E-10,1.0598E-09,4.9607E-09,7.5154E-09,7.5164E-09,7.9962E-09,1.1980E-08,5.9271E-08,9.6163E-08,1.9928E-07,2.0212E-07,4.3963E-07,5.1162E-07,1.6664E-06,4.2682E-06,5.5581E-06,9.8445E-06,2.0075E-05,2.6147E-05,2.6147E-05,2.6610E-05,3.0023E-05,3.0350E-05,3.4293E-05,3.4807E-05,3.7431E-05,7.6053E-05,8.1567E-05,8.1566E-05,8.1556E-05,7.7700E-05,7.0977E-05,7.0975E-05,7.0975E-05,7.0973E-05,7.0971E-05,7.0969E-05,7.0964E-05,7.0958E-05,5.9034E-05,5.9034E-05
MgHSiO3+,7.0178E-10,7.0178E-10,7.0178E-10,7.0178E-10,7.0183E-10,7.0231E-10,7.0711E-10,7.5682E-10,1.1337E-09,1.2738E-09,1.2738E-09,1.2966E-09,1.4587E-09,2.3850E-09,2.7812E-09,3.4465E-09,3.4581E-09,4.2418E-09,4.4354E-09,6.5859E-09,9.0036E-09,9.6688E-09,1.0852E-08,1.1673E-08,1.1962E-08,1.1962E-08,1.1967E-08,1.2025E-08,1.2207E-08,1.4524E-08,1.4852E-08,1.6600E-08,8.6009E-08,3.0268E-07,3.0269E-07,3.0272E-07,3.1515E-07,3.4653E-07,3.4654E-07,3.4654E-07,3.4655E-07,3.4655E-07,3.4656E-07,3.4657E-07,3.4659E-07,4.3286E-07,4.3286E-07
"SiO2,aq",5.3438E-10,5.3438E-10,5.3438E-10,5.3440E-10,5.3457E-10,5.3622E-10,5.5303E-10,7.4832E-10,3.7663E-09,5.7009E-09,5.7016E-09,6.0614E-09,8.9984E-09,4.0205E-08,6.2517E-08,1.1969E-07,1.2109E-07,2.3827E-07,2.7426E-07,8.9228E-07,2.3778E-06,3.1105E-06,5.4963E-06,1.1275E-05,1.5182E-05,1.5182E-05,1.5469E-05,1.7843E-05,1.8326E-05,2.4900E-05,2.5878E-05,3.1321E-05,3.7060E-04,1.4893E-03,1.4893E-03,1.4893E-03,1.4836E-03,1.5108E-03,1.5108E-03,1.5108E-03,1.5107E-03,1.5107E-03,1.5107E-03,1.5107E-03,1.5107E-03,1.6065E-03,1.6065E-03
CaHSiO3+,1.4247E-10,1.4247E-10,1.4247E-10,1.4247E-10,1.4249E-10,1.4263E-10,1.4408E-10,1.5920E-10,2.8002E-10,3.2695E-10,3.2697E-10,3.3472E-10,3.9034E-10,7.2212E-10,8.7009E-10,1.1277E-09,1.1322E-09,1.4330E-09,1.5058E-09,2.3076E-09,3.2209E-09,3.4747E-09,3.9230E-09,4.2279E-09,4.3587E-09,4.3587E-09,4.3663E-09,4.4312E-09,4.4993E-09,5.3690E-09,5.4920E-09,6.1503E-09,3.3800E-08,1.2276E-07,1.2276E-07,1.2277E-07,1.2570E-07,1.3623E-07,1.3623E-07,1.3623E-07,1.3623E-07,1.3623E-07,1.3623E-07,1.3623E-07,1.3624E-07,1.6817E-07,1.6817E-07
"CO,aq",1.0937E-10,1.0937E-10,1.0937E-10,1.0938E-10,1.0943E-10,1.0991E-10,1.1482E-10,1.7713E-10,2.1134E-09,4.2038E-09,4.2047E-09,4.6670E-09,9.2715E-09,1.5497E-07,3.7814E-07,1.4388E-06,1.4740E-06,6.2824E-06,8.5822E-06,1.2939E-04,1.2090E-03,2.1261E-03,6.0655E-03,1.5213E-02,1.9573E-02,1.9572E-02,1.7472E-02,4.3698E-03,4.2756E-03,3.2923E-03,3.2767E-03,3.1989E-03,2.3923E-03,2.4072E-03,2.4068E-03,2.4039E-03,1.2647E-03,3.2396E-05,3.2393E-05,3.2390E-05,3.2382E-05,3.2374E-05,3.2365E-05,3.2344E-05,3.2316E-05,4.2922E-05,4.2922E-05
HSiO3-,1.0510E-10,1.0510E-10,1.0510E-10,1.0510E-10,1.0511E-10,1.0520E-10,1.0612E-10,1.1562E-10,1.8587E-10,2.1104E-10,2.1105E-10,2.1512E-10,2.4361E-10,3.9571E-10,4.5685E-10,5.5145E-10,5.5278E-10,6.4710E-10,6.7138E-10,9.4606E-10,1.2432E-09,1.3208E-09,1.4537E-09,1.5452E-09,1.5824E-09,1.5824E-09,1.5848E-09,1.6072E-09,1.6314E-09,1.9382E-09,1.9814E-09,2.2116E-09,1.1004E-08,3.5936E-08,3.5936E-08,3.5939E-08,3.6871E-08,3.9689E-08,3.9689E-08,3.9689E-08,3.9690E-08,3.9690E-08,3.9691E-08,3.9692E-08,3.9694E-08,4.7763E-08,4.7763E-08
"FORMALDEHYDE,aq",6.4237E-12,6.4237E-12,6.4237E-12,6.4239E-12,6.4266E-12,6.4536E-12,6.7288E-12,1.0162E-11,1.0287E-10,1.9392E-10,1.9396E-10,2.1477E-10,4.1863E-10,6.0885E-09,1.3929E-08,4.7058E-08,4.8083E-08,1.7394E-07,2.2863E-07,2.2756E-06,1.2669E-05,1.8580E-05,3.2883E-05,3.4033E-05,2.6493E-05,2.6489E-05,1.9800E-05,8.3622E-07,7.8805E-07,3.8928E-07,3.7701E-07,3.2115E-07,3.3171E-08,9.3711E-09,9.3677E-09,9.3432E-09,2.3934E-09,1.2894E-12,1.2893E-12,1.2890E-12,1.2883E-12,1.2877E-12,1.2869E-12,1.2852E-12,1.2830E-12,1.3862E-12,1.3862E-12
"FeCl2,aq",5.8303E-13,5.8303E-13,5.8303E-13,5.8306E-13,5.8342E-13,5.8697E-13,6.2366E-13,1.1353E-12,3.2995E-11,8.2587E-11,8.2611E-11,9.4742E-11,2.3267E-10,8.7270E-09,2.6904E-08,1.4687E-07,1.5163E-07,9.6133E-07,1.4074E-06,3.3082E-05,4.4022E-04,8.9463E-04,4.0277E-03,2.6109E-02,5.4176E-02,5.4176E-02,5.3722E-02,4.1762E-02,4.2506E-02,5.1774E-02,5.2960E-02,5.9161E-02,1.7813E-01,2.2400E-01,2.2398E-01,2.2389E-01,1.8676E-01,1.5572E-01,1.5570E-01,1.5569E-01,1.5568E-01,1.5566E-01,1.5564E-01,1.5559E-01,1.5553E-01,1.4896E-01,1.4896E-01
"HFeO2,aq",2.1245E-14,2.1245E-14,2.1245E-14,2.1246E-14,2.1255E-14,2.1346E-14,2.2272E-14,3.3775E-14,3.1132E-13,5.4696E-13,5.4705E-13,5.9237E-13,9.8815E-13,6.4388E-12,1.0816E-11,2.2102E-11,2.2372E-11,4.4077E-11,5.0361E-11,1.3499E-10,2.4425E-10,2.7549E-10,3.3476E-10,3.8387E-10,3.9299E-10,3.9300E-10,4.0292E-10,5.2060E-10,5.2288E-10,5.5035E-10,5.4509E-10,5.1960E-10,2.6625E-10,1.7815E-10,1.7816E-10,1.7821E-10,2.1469E-10,1.2074E-09,1.2073E-09,1.2073E-09,1.2074E-09,1.2074E-09,1.2075E-09,1.2076E-09,1.2077E-09,1.1593E-09,1.1593E-09
FeO2-,2.3203E-15,2.3203E-15,2.3203E-15,2.3204E-15,2.3212E-15,2.3289E-15,2.4075E-15,3.3376E-15,1.9853E-14,3.1635E-14,3.1639E-14,3.3794E-14,5.1826E-14,2.6766E-13,4.3371E-13,8.5389E-13,8.6340E-13,1.6684E-12,1.9191E-12,6.2964E-12,1.6086E-11,2.0395E-11,3.2650E-11,5.6867E-11,7.2428E-11,7.2430E-11,7.5642E-11,1.1260E-10,1.1284E-10,1.1601E-10,1.1459E-10,1.0786E-10,5.5613E-11,4.6063E-11,4.6066E-11,4.6085E-11,5.8710E-11,3.6764E-10,3.6763E-10,3.6764E-10,3.6767E-10,3.6769E-10,3.6771E-10,3.6777E-10,3.6785E-10,4.3785E-10,4.3785E-10
FeO+,3.7422E-16,3.7422E-16,3.7422E-16,3.7424E-16,3.7439E-16,3.7590E-16,3.9128E-16,5.8019E-16,4.8820E-15,8.4629E-15,8.4643E-15,9.1510E-15,1.5153E-14,1.0128E-13,1.7452E-13,3.7623E-13,3.8128E-13,8.0715E-13,9.3749E-13,3.0008E-12,6.7556E-12,8.1768E-12,1.1641E-11,1.6430E-11,1.8456E-11,1.8456E-11,1.9005E-11,2.5290E-11,2.5632E-11,2.9950E-11,3.0056E-11,3.0585E-11,3.9374E-11,4.9771E-11,4.9773E-11,4.9789E-11,6.0841E-11,3.5965E-10,3.5964E-10,3.5965E-10,3.5966E-10,3.5967E-10,3.5969E-10,3.5973E-10,3.5978E-10,3.9551E-10,3.9551E-10
FeOH+2,1.5294E-20,1.5294E-20,1.5294E-20,1.5295E-20,1.5303E-20,1.5379E-20,1.6161E-20,2.6343E-20,3.8995E-19,7.9630E-19,7.9648E-19,8.8275E-19,1.7246E-18,2.3409E-17,5.0866E-17,1.5131E-16,1.5402E-16,4.4803E-16,5.6376E-16,4.0500E-15,1.8809E-14,2.7316E-14,5.5199E-14,1.1970E-13,1.7063E-13,1.7064E-13,1.7885E-13,2.7547E-13,2.8311E-13,3.8993E-13,3.9964E-13,4.5239E-13,3.7068E-12,2.5621E-11,2.5623E-11,2.5639E-11,3.5448E-11,2.7729E-10,2.7729E-10,2.7730E-10,2.7732E-10,2.7734E-10,2.7737E-10,2.7744E-10,2.7752E-10,5.7065E-10,5.7065E-10
FeCl+2,1.2061E-24,1.2061E-24,1.2061E-24,1.2061E-24,1.2068E-24,1.2139E-24,1.2868E-24,2.2867E-24,5.5680E-23,1.3070E-22,1.3073E-22,1.4795E-22,3.3188E-22,8.0233E-21,2.1006E-20,8.3008E-20,8.4938E-20,3.3933E-19,4.5737E-19,6.0111E-18,4.6938E-17,7.8606E-17,2.1506E-16,6.9081E-16,1.1683E-15,1.1683E-15,1.2307E-15,1.9375E-15,2.0124E-15,3.1313E-15,3.2591E-15,3.9823E-15,9.1857E-14,1.2357E-12,1.2358E-12,1.2366E-12,1.7292E-12,1.4186E-11,1.4186E-11,1.4186E-11,1.4188E-11,1.4189E-11,1.4190E-11,1.4194E-11,1.4198E-11,3.3691E-11,3.3691E-11
Fe+3,1.1597E-26,1.1597E-26,1.1597E-26,1.1598E-26,1.1605E-26,1.1671E-26,1.2350E-26,2.1564E-26,4.6190E-25,1.0372E-24,1.0374E-24,1.1659E-24,2.4920E-24,4.7189E-23,1.1252E-22,3.7140E-22,3.7825E-22,1.1720E-21,1.5044E-21,1.3299E-20,6.7793E-20,9.7065E-20,1.7540E-19,2.8236E-19,3.4830E-19,3.4831E-19,3.6105E-19,5.1919E-19,5.3652E-19,7.8827E-19,8.1469E-19,9.6231E-19,1.8502E-17,3.3061E-16,3.3065E-16,3.3091E-16,4.9199E-16,4.5307E-15,4.5308E-15,4.5310E-15,4.5316E-15,4.5321E-15,4.5328E-15,4.5343E-15,4.5362E-15,1.3186E-14,1.3186E-14
"H2O2,aq",1.7554E-64,1.7554E-64,1.7554E-64,1.7557E-64,1.7591E-64,1.7927E-64,2.1654E-64,1.3986E-63,4.7923E-59,8.0369E-58,8.0439E-58,1.2177E-57,1.8349E-56,9.2284E-52,2.5652E-50,3.4747E-48,3.7950E-48,6.7553E-46,2.0081E-45,2.1188E-41,4.9750E-38,4.1623E-37,3.8554E-35,1.4469E-32,1.9945E-31,1.9948E-31,2.8035E-31,5.7653E-30,6.2329E-30,1.5518E-29,1.6899E-29,2.5837E-29,8.8336E-27,3.0435E-25,3.0443E-25,3.0501E-25,7.6315E-25,5.3122E-23,5.3129E-23,5.3136E-23,5.3155E-23,5.3173E-23,5.3194E-23,5.3243E-23,5.3306E-23,1.3064E-22,1.3064E-22
HO2-,2.6577E-67,2.6577E-67,2.6577E-67,2.6582E-67,2.6629E-67,2.7102E-67,3.2311E-67,1.8330E-66,3.0065E-62,4.1172E-61,4.1205E-61,6.0512E-61,7.4700E-60,1.6645E-55,3.5809E-54,3.2582E-52,3.5304E-52,4.0079E-50,1.0880E-49,5.5070E-46,7.0667E-43,4.9809E-42,3.1549E-40,7.0416E-38,7.7536E-37,7.7549E-37,1.0725E-36,1.9400E-35,2.0735E-35,4.5278E-35,4.8516E-35,6.8469E-35,8.8144E-33,1.9350E-31,1.9355E-31,1.9392E-31,4.8354E-31,3.3304E-29,3.3308E-29,3.3313E-29,3.3324E-29,3.3336E-29,3.3349E-29,3.3379E-29,3.3419E-29,8.1130E-29,8.1130E-29
"O2,aq",1.2133E-93,1.2133E-93,1.2133E-93,1.2136E-93,1.2170E-93,1.2511E-93,1.6486E-93,2.5185E-92,1.1353E-85,7.2220E-84,7.2312E-84,1.3283E-83,7.1281E-82,6.1346E-75,8.4644E-73,1.2500E-69,1.4259E-69,3.2943E-66,1.6839E-65,1.9145E-59,2.5998E-54,6.8088E-53,7.6613E-50,9.0373E-46,6.2097E-44,6.2116E-44,1.1387E-43,2.7783E-41,3.1872E-41,1.5929E-40,1.8394E-40,3.7680E-40,8.1438E-36,3.8448E-33,3.8468E-33,3.8609E-33,2.2647E-32,9.5979E-29,9.6004E-29,9.6030E-29,9.6095E-29,9.6158E-29,9.6232E-29,9.6404E-29,9.6626E-29,4.4206E-28,4.4206E-28
gCl-,-0.2628,-0.2628,-0.2628,-0.2628,-0.2628,-0.2628,-0.2629,-0.2644,-0.2739,-0.2770,-0.2770,-0.2775,-0.2807,-0.2970,-0.3033,-0.3094,-0.3093,-0.3123,-0.3150,-0.3591,-0.4104,-0.4244,-0.4546,-0.5074,-0.5468,-0.5468,-0.5501,-0.5780,-0.5792,-0.5943,-0.5963,-0.6067,-0.8332,-1.0892,-1.0892,-1.0892,-1.1143,-1.1687,-1.1687,-1.1687,-1.1687,-1.1687,-1.1687,-1.1688,-1.1688,-1.2884,-1.2884
gMgCl+,0.1844,0.1844,0.1844,0.1844,0.1844,0.1845,0.1854,0.1932,0.2237,0.2276,0.2276,0.2280,0.2293,0.2142,0.2030,0.1793,0.1787,0.1481,0.1421,0.0747,-0.0403,-0.0872,-0.2135,-0.4346,-0.5535,-0.5535,-0.5631,-0.6355,-0.6380,-0.6677,-0.6715,-0.6904,-0.9779,-1.1713,-1.1713,-1.1713,-1.1838,-1.2113,-1.2113,-1.2113,-1.2113,-1.2113,-1.2113,-1.2113,-1.2113,-1.2681,-1.2681
gMg+2,0.0067,0.0067,0.0067,0.0067,0.0067,0.0068,0.0080,0.0189,0.0587,0.0624,0.0624,0.0627,0.0626,0.0286,0.0075,-0.0315,-0.0323,-0.0787,-0.0897,-0.2243,-0.4345,-0.5147,-0.7244,-1.0909,-1.2957,-1.2957,-1.3126,-1.4433,-1.4479,-1.5029,-1.5100,-1.5454,-2.1253,-2.5654,-2.5654,-2.5655,-2.5995,-2.6716,-2.6716,-2.6716,-2.6716,-2.6716,-2.6716,-2.6717,-2.6717,-2.8175,-2.8175
"gCaCl2,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gK+,0.1132,0.1132,0.1132,0.1132,0.1132,0.1133,0.1141,0.1216,0.1500,0.1531,0.1531,0.1534,0.1541,0.1356,0.1232,0.0987,0.0982,0.0679,0.0613,-0.0152,-0.1407,-0.1904,-0.3223,-0.5534,-0.6801,-0.6801,-0.6903,-0.7668,-0.7696,-0.8024,-0.8065,-0.8276,-1.1616,-1.4077,-1.4077,-1.4077,-1.4248,-1.4628,-1.4628,-1.4628,-1.4628,-1.4628,-1.4628,-1.4628,-1.4628,-1.5444,-1.5444
gNa+,0.1844,0.1844,0.1844,0.1844,0.1844,0.1845,0.1854,0.1932,0.2237,0.2276,0.2276,0.2280,0.2293,0.2142,0.2030,0.1793,0.1787,0.1481,0.1421,0.0747,-0.0403,-0.0872,-0.2135,-0.4346,-0.5535,-0.5535,-0.5631,-0.6355,-0.6380,-0.6677,-0.6715,-0.6904,-0.9779,-1.1713,-1.1713,-1.1713,-1.1838,-1.2113,-1.2113,-1.2113,-1.2113,-1.2113,-1.2113,-1.2113,-1.2113,-1.2681,-1.2681
gCa+2,-0.1785,-0.1785,-0.1785,-0.1785,-0.1784,-0.1783,-0.1772,-0.1671,-0.1326,-0.1306,-0.1306,-0.1306,-0.1325,-0.1753,-0.1997,-0.2412,-0.2419,-0.2885,-0.3008,-0.4602,-0.6988,-0.7865,-1.0116,-1.4051,-1.6308,-1.6308,-1.6493,-1.7939,-1.7992,-1.8623,-1.8704,-1.9114,-2.6122,-3.1849,-3.1849,-3.1851,-3.2315,-3.3306,-3.3306,-3.3306,-3.3306,-3.3306,-3.3307,-3.3307,-3.3308,-3.5364,-3.5364
"gNaCl,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gCaCl+,0.1844,0.1844,0.1844,0.1844,0.1844,0.1845,0.1854,0.1932,0.2237,0.2276,0.2276,0.2280,0.2293,0.2142,0.2030,0.1793,0.1787,0.1481,0.1421,0.0747,-0.0403,-0.0872,-0.2135,-0.4346,-0.5535,-0.5535,-0.5631,-0.6355,-0.6380,-0.6677,-0.6715,-0.6904,-0.9779,-1.1713,-1.1713,-1.1713,-1.1838,-1.2113,-1.2113,-1.2113,-1.2113,-1.2113,-1.2113,-1.2113,-1.2113,-1.2681,-1.2681
gMg(For)+,0.1844,0.1844,0.1844,0.1844,0.1844,0.1845,0.1854,0.1932,0.2237,0.2276,0.2276,0.2280,0.2293,0.2142,0.2030,0.1793,0.1787,0.1481,0.1421,0.0747,-0.0403,-0.0872,-0.2135,-0.4346,-0.5535,-0.5535,-0.5631,-0.6355,-0.6380,-0.6677,-0.6715,-0.6904,-0.9779,-1.1713,-1.1713,-1.1713,-1.1838,-1.2113,-1.2113,-1.2113,-1.2113,-1.2113,-1.2113,-1.2113,-1.2113,-1.2681,-1.2681
"gMgCO3,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"gCaCO3,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"gMg(For)2,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"gFORMATE,aq",-0.1916,-0.1916,-0.1916,-0.1916,-0.1916,-0.1916,-0.1917,-0.1928,-0.2001,-0.2025,-0.2025,-0.2029,-0.2055,-0.2185,-0.2235,-0.2288,-0.2287,-0.2321,-0.2343,-0.2692,-0.3099,-0.3212,-0.3458,-0.3887,-0.4202,-0.4202,-0.4230,-0.4466,-0.4476,-0.4597,-0.4613,-0.4695,-0.6495,-0.8527,-0.8527,-0.8528,-0.8733,-0.9172,-0.9172,-0.9172,-0.9172,-0.9172,-0.9172,-0.9173,-0.9173,-1.0121,-1.0121
"gNa(For),aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gMgHCO3+,0.1844,0.1844,0.1844,0.1844,0.1844,0.1845,0.1854,0.1932,0.2237,0.2276,0.2276,0.2280,0.2293,0.2142,0.2030,0.1793,0.1787,0.1481,0.1421,0.0747,-0.0403,-0.0872,-0.2135,-0.4346,-0.5535,-0.5535,-0.5631,-0.6355,-0.6380,-0.6677,-0.6715,-0.6904,-0.9779,-1.1713,-1.1713,-1.1713,-1.1838,-1.2113,-1.2113,-1.2113,-1.2113,-1.2113,-1.2113,-1.2113,-1.2113,-1.2681,-1.2681
"gKCl,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
