Variables,Step0,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41,Step42,Step43,Step44,Step45
CO3-2,1.2455E-03,1.2455E-03,1.2455E-03,1.2455E-03,1.2455E-03,1.2454E-03,1.2442E-03,1.2324E-03,1.1205E-03,6.4340E-04,4.3993E-04,2.0166E-04,1.5222E-04,9.5213E-05,9.4004E-05,5.1585E-05,4.3147E-05,1.7698E-05,8.6296E-06,8.6244E-06,7.6845E-06,2.5024E-06,8.4740E-07,4.8215E-07,4.8217E-07,4.9966E-07,7.3549E-07,7.3547E-07,7.2276E-07,4.8502E-07,2.9081E-07,2.7943E-07,1.1545E-08,9.3464E-09,5.1883E-09,5.1874E-09,4.9506E-09,4.5948E-09,5.5705E-10,5.5705E-10,5.5689E-10,5.7857E-10,5.7855E-10,5.7845E-10,7.2719E-10,7.2719E-10
"FORMATE,aq",1.2438E-03,1.2438E-03,1.2438E-03,1.2438E-03,1.2438E-03,1.2439E-03,1.2450E-03,1.2557E-03,1.3655E-03,2.1147E-03,2.6932E-03,3.8496E-03,4.2224E-03,4.7110E-03,4.7189E-03,5.1239E-03,5.2555E-03,5.9315E-03,6.3682E-03,6.3685E-03,6.4252E-03,6.8124E-03,6.6834E-03,6.0354E-03,6.0353E-03,5.8669E-03,2.3222E-03,2.3221E-03,2.2739E-03,1.3919E-03,7.2738E-04,7.0560E-04,4.1311E-05,3.3064E-05,1.7118E-05,1.7083E-05,9.1437E-06,8.5353E-06,9.5130E-07,9.5095E-07,7.3346E-07,3.4042E-08,3.4001E-08,3.3793E-08,2.5098E-08,2.5098E-08
"KCl,aq",3.9639E-04,3.9639E-04,3.9639E-04,3.9639E-04,3.9640E-04,3.9644E-04,3.9684E-04,4.0089E-04,4.4307E-04,7.6247E-04,1.0589E-03,1.8771E-03,2.2471E-03,2.9069E-03,2.9230E-03,3.8674E-03,4.2367E-03,6.8918E-03,9.7419E-03,9.7436E-03,1.0092E-02,1.3898E-02,1.8482E-02,2.1409E-02,2.1409E-02,2.1367E-02,2.0026E-02,2.0026E-02,2.0051E-02,2.0587E-02,2.1185E-02,2.1228E-02,2.4285E-02,2.4456E-02,2.4900E-02,2.4899E-02,2.4464E-02,2.4494E-02,2.5023E-02,2.5023E-02,2.4868E-02,2.4362E-02,2.4361E-02,2.4352E-02,2.4264E-02,2.4264E-02
"KOH,aq",1.7397E-04,1.7397E-04,1.7397E-04,1.7397E-04,1.7397E-04,1.7397E-04,1.7394E-04,1.7368E-04,1.7097E-04,1.5193E-04,1.3697E-04,1.0659E-04,9.6657E-05,8.2827E-05,8.2541E-05,6.9047E-05,6.4940E-05,4.4226E-05,3.0872E-05,3.0866E-05,2.9593E-05,1.9546E-05,1.3049E-05,1.0396E-05,1.0396E-05,1.0310E-05,9.0236E-06,9.0235E-06,8.9165E-06,6.9935E-06,5.3872E-06,5.2900E-06,1.2827E-06,1.1593E-06,8.6289E-07,8.6283E-07,8.4742E-07,8.1503E-07,2.4561E-07,2.4560E-07,2.4457E-07,2.3804E-07,2.3803E-07,2.3798E-07,2.2730E-07,2.2730E-07
"NaHSiO3,aq",1.2224E-04,1.2224E-04,1.2224E-04,1.2224E-04,1.2224E-04,1.2223E-04,1.2212E-04,1.2101E-04,1.1062E-04,6.6914E-05,4.8563E-05,2.6718E-05,2.1889E-05,1.6314E-05,1.6212E-05,1.1759E-05,1.0563E-05,5.6901E-06,3.4216E-06,3.4206E-06,3.2312E-06,1.8838E-06,1.1453E-06,8.7577E-07,8.7576E-07,8.6673E-07,7.4097E-07,7.4097E-07,7.4260E-07,7.7600E-07,8.1233E-07,8.1493E-07,1.0512E-06,1.0717E-06,1.1357E-06,1.1355E-06,1.1045E-06,1.0929E-06,8.0432E-07,8.0431E-07,7.9901E-07,7.8417E-07,7.8412E-07,7.8386E-07,7.9309E-07,7.9309E-07
HFeO2-,3.2750E-05,3.2750E-05,3.2750E-05,3.2751E-05,3.2750E-05,3.2746E-05,3.2704E-05,3.2294E-05,2.8533E-05,1.4908E-05,1.0267E-05,5.5690E-06,4.6426E-06,3.2699E-06,3.2251E-06,1.8947E-06,1.7059E-06,1.5081E-06,1.5394E-06,1.5393E-06,1.5050E-06,9.4463E-07,5.1145E-07,4.7678E-07,4.7677E-07,4.6838E-07,3.4259E-07,3.4259E-07,3.3926E-07,2.8304E-07,2.4364E-07,2.4128E-07,3.5268E-07,4.0460E-07,6.7463E-07,6.7510E-07,8.0889E-07,8.3949E-07,5.3636E-06,5.3644E-06,5.9203E-06,1.3471E-05,1.3480E-05,1.3527E-05,1.1901E-04,1.1901E-04
"NaHCO3,aq",2.8926E-06,2.8926E-06,2.8926E-06,2.8926E-06,2.8926E-06,2.8931E-06,2.8980E-06,2.9470E-06,3.4784E-06,8.6297E-06,1.4923E-05,3.7258E-05,4.8705E-05,6.9930E-05,7.0466E-05,1.0226E-04,1.1478E-04,2.0441E-04,3.0459E-04,3.0461E-04,3.0853E-04,3.7670E-04,4.9049E-04,5.4213E-04,5.4217E-04,5.7047E-04,1.0114E-03,1.0114E-03,1.0084E-03,9.0261E-04,7.2544E-04,7.1095E-04,9.0501E-05,7.6281E-05,4.5749E-05,4.5731E-05,4.1061E-05,3.8778E-05,6.2018E-06,6.2014E-06,5.9882E-06,4.8633E-06,4.8618E-06,4.8542E-06,3.3170E-06,3.3170E-06
HCO3-,2.1415E-06,2.1415E-06,2.1415E-06,2.1415E-06,2.1416E-06,2.1419E-06,2.1455E-06,2.1812E-06,2.5681E-06,6.3330E-06,1.0993E-05,2.8157E-05,3.7353E-05,5.4352E-05,5.4733E-05,7.8556E-05,8.8663E-05,1.7439E-04,2.8993E-04,2.8997E-04,2.9690E-04,3.8890E-04,5.1235E-04,5.6852E-04,5.6855E-04,5.9997E-04,1.1254E-03,1.1254E-03,1.1224E-03,1.0117E-03,8.2162E-04,8.0584E-04,1.1818E-04,1.0145E-04,6.4736E-05,6.4716E-05,5.9638E-05,5.6652E-05,1.1480E-05,1.1479E-05,1.1208E-05,9.7838E-06,9.7817E-06,9.7709E-06,7.8237E-06,7.8237E-06
CaHCO3+,1.1395E-06,1.1395E-06,1.1395E-06,1.1395E-06,1.1395E-06,1.1397E-06,1.1416E-06,1.1608E-06,1.3693E-06,3.5134E-06,6.4376E-06,1.9300E-05,2.7319E-05,4.4515E-05,4.4973E-05,7.4761E-05,8.8030E-05,2.1454E-04,4.2402E-04,4.2411E-04,4.4278E-04,6.9671E-04,1.0756E-03,1.2953E-03,1.2954E-03,1.3684E-03,2.5816E-03,2.5816E-03,2.5767E-03,2.3601E-03,1.9533E-03,1.9184E-03,3.1633E-04,2.7392E-04,1.7924E-04,1.7919E-04,1.6569E-04,1.5768E-04,3.2992E-05,3.2991E-05,3.2211E-05,2.8190E-05,2.8184E-05,2.8152E-05,2.2631E-05,2.2631E-05
HSiO3-,5.0563E-07,5.0563E-07,5.0563E-07,5.0563E-07,5.0563E-07,5.0565E-07,5.0578E-07,5.0716E-07,5.2066E-07,5.8825E-07,6.1962E-07,6.4399E-07,6.4202E-07,6.2210E-07,6.2098E-07,5.7402E-07,5.6178E-07,5.0234E-07,4.4307E-07,4.4303E-07,4.3495E-07,3.4894E-07,2.6382E-07,2.2134E-07,2.2134E-07,2.2020E-07,2.0483E-07,2.0483E-07,2.0546E-07,2.1842E-07,2.3297E-07,2.3400E-07,3.3918E-07,3.4952E-07,3.8322E-07,3.8320E-07,3.7901E-07,3.7615E-07,3.0973E-07,3.0973E-07,3.0952E-07,3.1458E-07,3.1458E-07,3.1456E-07,3.4040E-07,3.4040E-07
