Variables,Step0,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41,Step42,Step43
Xi,0.0,1e-08,1e-07,1e-06,1e-05,0.0001,0.001,0.01,0.0627215,0.1,0.1777,0.2,0.236498,0.237301,0.276831,0.3,0.4,0.473255,0.473283,0.5,0.6,0.7,0.750816,0.750924,0.779244,0.780132,0.79839,0.79942,0.8,0.885961,0.9,0.956662,0.956663,0.956667,0.959046,0.976961,0.976969,0.97697,0.976972,0.976974,0.976988,0.977015,0.979,1.0
Aw,0.78219,0.78219,0.78219,0.78219,0.78219,0.78219,0.78216,0.78192,0.78208,0.78351,0.78886,0.79077,0.79452,0.79465,0.80001,0.80245,0.81086,0.81739,0.8174,0.82005,0.83125,0.84334,0.84941,0.84947,0.86736,0.86751,0.87037,0.87048,0.87055,0.87937,0.88062,0.88505,0.88505,0.88505,0.88615,0.89331,0.89331,0.89331,0.89331,0.89331,0.89333,0.89335,0.89453,0.89453
Temp,10.0,10.0,10.0,10.0,10.0,10.04,10.39,13.9,34.46,49.0,79.3,88.0,102.23,102.55,117.96,127.0,166.0,194.57,194.58,205.0,244.0,283.0,302.82,302.86,313.91,314.25,321.37,321.77,322.0,355.52,361.0,383.1,383.1,383.1,384.03,391.01,391.02,391.02,391.02,391.02,391.03,391.04,400.0,400.0
I,5.7356,5.7356,5.7356,5.7356,5.7356,5.7355,5.7346,5.7249,5.6297,5.5302,5.2627,5.1752,5.0079,5.0023,4.7595,4.6441,4.2693,4.0388,4.0387,3.9529,3.6242,3.305,3.1595,3.1587,2.8836,2.8809,2.8303,2.828,2.8267,2.689,2.6811,2.7149,2.7149,2.7149,2.7004,2.6154,2.6154,2.6154,2.6153,2.6153,2.6151,2.6147,2.6963,2.6963
pH,9.2098,9.2098,9.2098,9.2098,9.2096,9.2083,9.1954,9.0675,8.3894,7.9763,7.2622,7.0877,6.8223,6.8164,6.5484,6.4106,5.9418,5.6934,5.6933,5.6185,5.3978,5.2672,5.2415,5.2415,5.2456,5.2428,5.1889,5.1861,5.1846,5.0455,5.0422,5.0903,5.0903,5.0903,5.1004,5.1782,5.1782,5.1782,5.1783,5.1783,5.1783,5.1785,5.2868,5.2868
TDS%,30.956,30.956,30.956,30.956,30.956,30.956,30.956,30.956,30.955,30.953999999999997,30.953000000000003,30.953000000000003,30.952,30.952,30.952,30.952,30.952,30.953000000000003,30.953000000000003,30.938,30.884,30.834,30.808999999999997,30.804,28.888,28.883,28.803,28.803,28.802,28.769,28.768,28.761,28.761,28.761,28.585,27.441,27.439999999999998,27.439999999999998,27.439999999999998,27.439999999999998,27.438000000000002,27.433999999999997,27.431,27.431
Solv_Mass,837.99484,837.99484,837.99484,837.99484,837.99485,837.99494,837.99588,838.0055,838.06916,838.1206,838.23882,838.2741,838.33154,838.33278,838.39287,838.42698,838.54933,838.57954,838.58016,839.16208,841.08921,842.72394,843.75483,843.96525,923.78176,923.99425,927.56923,927.60956,927.63212,930.10478,930.3864,931.3656,931.3675,931.38036,939.29936,993.37448,993.3949,993.39491,993.4123,993.43102,993.53195,993.72926,993.71543,993.71543
Cl-,5.1826E+00,5.1826E+00,5.1826E+00,5.1826E+00,5.1826E+00,5.1824E+00,5.1810E+00,5.1657E+00,5.0572E+00,4.9655E+00,4.7471E+00,4.6795E+00,4.5537E+00,4.5497E+00,4.3715E+00,4.2843E+00,3.9945E+00,3.8192E+00,3.8191E+00,3.7544E+00,3.5045E+00,3.2444E+00,3.1165E+00,3.1156E+00,2.8497E+00,2.8472E+00,2.7995E+00,2.7973E+00,2.7960E+00,2.6612E+00,2.6520E+00,2.6708E+00,2.6708E+00,2.6708E+00,2.6553E+00,2.5608E+00,2.5608E+00,2.5608E+00,2.5607E+00,2.5607E+00,2.5605E+00,2.5601E+00,2.6185E+00,2.6185E+00
Na+,3.4046E+00,3.4046E+00,3.4046E+00,3.4046E+00,3.4045E+00,3.4042E+00,3.4011E+00,3.3701E+00,3.2032E+00,3.0990E+00,2.9090E+00,2.8589E+00,2.7758E+00,2.7736E+00,2.6710E+00,2.6158E+00,2.4203E+00,2.3096E+00,2.3096E+00,2.2718E+00,2.1293E+00,1.9671E+00,1.8806E+00,1.8801E+00,1.7242E+00,1.7225E+00,1.6897E+00,1.6881E+00,1.6872E+00,1.5889E+00,1.5811E+00,1.5787E+00,1.5787E+00,1.5787E+00,1.5679E+00,1.5014E+00,1.5014E+00,1.5014E+00,1.5014E+00,1.5014E+00,1.5012E+00,1.5010E+00,1.5191E+00,1.5191E+00
"NaCl,aq",1.5448E+00,1.5448E+00,1.5448E+00,1.5448E+00,1.5448E+00,1.5451E+00,1.5482E+00,1.5785E+00,1.7421E+00,1.8446E+00,2.0322E+00,2.0818E+00,2.1644E+00,2.1665E+00,2.2688E+00,2.3237E+00,2.5198E+00,2.6339E+00,2.6339E+00,2.6702E+00,2.8128E+00,2.9782E+00,3.0624E+00,3.0617E+00,2.7933E+00,2.7940E+00,2.8098E+00,2.8112E+00,2.8120E+00,2.8986E+00,2.9051E+00,2.9028E+00,2.9028E+00,2.9027E+00,2.8757E+00,2.7003E+00,2.7002E+00,2.7002E+00,2.7002E+00,2.7001E+00,2.6998E+00,2.6993E+00,2.6812E+00,2.6812E+00
Ca+2,3.9629E-01,3.9629E-01,3.9629E-01,3.9629E-01,3.9630E-01,3.9635E-01,3.9683E-01,4.0125E-01,4.1160E-01,4.0530E-01,3.6630E-01,3.5067E-01,3.1796E-01,3.1671E-01,2.6596E-01,2.4398E-01,1.7902E-01,1.3864E-01,1.3862E-01,1.2363E-01,7.0899E-02,3.5534E-02,2.5697E-02,2.5679E-02,2.1358E-02,2.1269E-02,1.9686E-02,1.9612E-02,1.9571E-02,1.9020E-02,2.0231E-02,3.3214E-02,3.3214E-02,3.3215E-02,3.4011E-02,4.1879E-02,4.1884E-02,4.1884E-02,4.1885E-02,4.1886E-02,4.1891E-02,4.1902E-02,6.1798E-02,6.1798E-02
K+,3.4332E-01,3.4332E-01,3.4332E-01,3.4332E-01,3.4332E-01,3.4332E-01,3.4330E-01,3.4312E-01,3.4175E-01,3.4046E-01,3.3681E-01,3.3552E-01,3.3309E-01,3.3303E-01,3.2982E-01,3.2775E-01,3.1762E-01,3.0930E-01,3.0929E-01,3.0592E-01,2.9257E-01,2.7786E-01,2.7011E-01,2.7003E-01,2.4511E-01,2.4494E-01,2.4171E-01,2.4157E-01,2.4150E-01,2.3211E-01,2.3115E-01,2.2949E-01,2.2948E-01,2.2948E-01,2.2760E-01,2.1568E-01,2.1567E-01,2.1567E-01,2.1567E-01,2.1567E-01,2.1565E-01,2.1560E-01,2.1647E-01,2.1647E-01
"CaCl2,aq",3.1772E-01,3.1772E-01,3.1772E-01,3.1772E-01,3.1771E-01,3.1760E-01,3.1647E-01,3.0563E-01,2.5630E-01,2.3323E-01,2.0599E-01,2.0171E-01,1.9926E-01,1.9949E-01,2.0646E-01,2.0764E-01,2.0423E-01,2.0384E-01,2.0384E-01,2.0500E-01,2.1759E-01,2.4070E-01,2.5354E-01,2.5348E-01,2.3002E-01,2.3015E-01,2.3279E-01,2.3298E-01,2.3309E-01,2.3854E-01,2.3679E-01,2.1868E-01,2.1867E-01,2.1867E-01,2.1539E-01,1.9249E-01,1.9249E-01,1.9249E-01,1.9248E-01,1.9247E-01,1.9244E-01,1.9238E-01,1.7645E-01,1.7645E-01
CaCl+,1.8008E-01,1.8008E-01,1.8008E-01,1.8008E-01,1.8009E-01,1.8016E-01,1.8080E-01,1.8724E-01,2.2628E-01,2.5564E-01,3.2176E-01,3.4159E-01,3.7661E-01,3.7763E-01,4.2119E-01,4.4183E-01,5.0933E-01,5.4933E-01,5.4934E-01,5.6245E-01,6.0056E-01,6.1201E-01,6.0839E-01,6.0825E-01,5.5947E-01,5.5925E-01,5.5527E-01,5.5513E-01,5.5506E-01,5.4843E-01,5.4876E-01,5.5311E-01,5.5311E-01,5.5310E-01,5.4880E-01,5.2037E-01,5.2036E-01,5.2036E-01,5.2035E-01,5.2034E-01,5.2029E-01,5.2019E-01,5.1624E-01,5.1624E-01
MgCl+,1.6415E-01,1.6415E-01,1.6415E-01,1.6415E-01,1.6415E-01,1.6415E-01,1.6414E-01,1.6410E-01,1.6658E-01,1.7091E-01,1.8533E-01,1.9046E-01,2.0054E-01,2.0089E-01,2.1558E-01,2.2236E-01,2.4408E-01,2.5739E-01,2.5739E-01,2.6189E-01,2.7479E-01,2.7859E-01,2.7700E-01,2.7692E-01,2.5265E-01,2.5253E-01,2.5011E-01,2.5002E-01,2.4996E-01,2.3521E-01,2.3200E-01,2.2062E-01,2.2062E-01,2.2062E-01,2.2016E-01,2.1355E-01,2.1355E-01,2.1355E-01,2.1355E-01,2.1355E-01,2.1353E-01,2.1351E-01,2.1061E-01,2.1061E-01
Mg+2,1.4450E-01,1.4450E-01,1.4450E-01,1.4450E-01,1.4450E-01,1.4451E-01,1.4460E-01,1.4541E-01,1.4663E-01,1.4423E-01,1.3254E-01,1.2796E-01,1.1859E-01,1.1824E-01,1.0399E-01,9.7509E-02,7.6499E-02,6.1951E-02,6.1945E-02,5.6309E-02,3.5160E-02,1.9218E-02,1.4220E-02,1.4210E-02,1.1825E-02,1.1773E-02,1.0802E-02,1.0754E-02,1.0727E-02,8.7325E-03,8.7989E-03,1.0809E-02,1.0809E-02,1.0809E-02,1.1010E-02,1.2660E-02,1.2661E-02,1.2661E-02,1.2661E-02,1.2661E-02,1.2663E-02,1.2665E-02,1.5920E-02,1.5920E-02
"Na(For),aq",3.1364E-02,3.1364E-02,3.1364E-02,3.1364E-02,3.1365E-02,3.1371E-02,3.1436E-02,3.2055E-02,3.4919E-02,3.6307E-02,3.7992E-02,3.8228E-02,3.8368E-02,3.8366E-02,3.8295E-02,3.8225E-02,3.6725E-02,3.3022E-02,3.3020E-02,3.1169E-02,1.9729E-02,7.2304E-03,3.6213E-03,3.6022E-03,5.5811E-04,5.3467E-04,2.1820E-04,2.1155E-04,2.0790E-04,1.7848E-05,1.2311E-05,3.0524E-06,3.0522E-06,3.0512E-06,2.4781E-06,3.3797E-08,3.3740E-08,3.3740E-08,3.3731E-08,3.3721E-08,3.3668E-08,3.3563E-08,2.8118E-08,2.8118E-08
Mg(For)+,2.0769E-02,2.0769E-02,2.0769E-02,2.0769E-02,2.0768E-02,2.0762E-02,2.0696E-02,2.0053E-02,1.6802E-02,1.5009E-02,1.2284E-02,1.1679E-02,1.0852E-02,1.0840E-02,1.0164E-02,9.6987E-03,7.5777E-03,5.9622E-03,5.9616E-03,5.3910E-03,2.9282E-03,9.0961E-04,4.1403E-04,4.1177E-04,6.1431E-05,5.8736E-05,2.2989E-05,2.2235E-05,2.1821E-05,1.4543E-06,9.5397E-07,1.8987E-07,1.8986E-07,1.8980E-07,1.5397E-07,2.0281E-09,2.0247E-09,2.0247E-09,2.0242E-09,2.0236E-09,2.0203E-09,2.0140E-09,1.5210E-09,1.5210E-09
"H2,aq",1.5227E-02,1.5227E-02,1.5227E-02,1.5227E-02,1.5228E-02,1.5241E-02,1.5364E-02,1.6630E-02,2.5139E-02,3.2151E-02,4.8727E-02,5.3825E-02,6.2363E-02,6.2553E-02,7.2031E-02,7.7686E-02,1.0306E-01,1.2384E-01,1.2386E-01,1.4254E-01,2.1588E-01,2.8425E-01,3.1048E-01,3.0931E-01,8.1770E-02,8.0008E-02,5.0340E-02,5.0017E-02,4.9837E-02,2.9684E-02,2.7401E-02,2.0154E-02,2.0153E-02,2.0148E-02,1.7191E-02,3.3456E-04,3.3405E-04,3.3405E-04,3.3398E-04,3.3391E-04,3.3352E-04,3.3276E-04,3.6329E-04,3.6329E-04
"FORMATE,aq",1.1990E-02,1.1990E-02,1.1990E-02,1.1990E-02,1.1990E-02,1.1994E-02,1.2030E-02,1.2382E-02,1.4097E-02,1.5008E-02,1.6404E-02,1.6745E-02,1.7258E-02,1.7264E-02,1.7581E-02,1.7784E-02,1.8492E-02,1.8042E-02,1.8041E-02,1.7630E-02,1.2841E-02,5.4060E-03,2.8819E-03,2.8674E-03,4.7865E-04,4.5896E-04,1.9057E-04,1.8492E-04,1.8182E-04,1.6445E-05,1.1397E-05,2.8427E-06,2.8425E-06,2.8416E-06,2.3140E-06,3.2018E-08,3.1965E-08,3.1965E-08,3.1957E-08,3.1947E-08,3.1897E-08,3.1800E-08,2.6372E-08,2.6372E-08
"Mg(For)2,aq",1.7487E-03,1.7487E-03,1.7487E-03,1.7487E-03,1.7485E-03,1.7470E-03,1.7315E-03,1.5855E-03,9.8512E-04,7.3761E-04,4.5640E-04,4.0811E-04,3.5120E-04,3.5068E-04,3.1905E-04,2.9720E-04,2.0312E-04,1.4109E-04,1.4107E-04,1.2177E-04,4.7794E-05,6.9178E-06,1.7867E-06,1.7683E-06,4.6029E-08,4.2236E-08,6.9661E-09,6.5418E-09,6.3143E-09,3.5550E-11,1.5512E-11,5.7806E-13,5.7800E-13,5.7761E-13,3.7689E-13,6.1576E-17,6.1367E-17,6.1367E-17,6.1333E-17,6.1296E-17,6.1099E-17,6.0716E-17,3.0586E-17,3.0586E-17
"KCl,aq",1.6145E-03,1.6145E-03,1.6145E-03,1.6145E-03,1.6147E-03,1.6164E-03,1.6336E-03,1.8128E-03,3.1518E-03,4.4228E-03,8.0193E-03,9.3042E-03,1.1704E-02,1.1764E-02,1.4949E-02,1.7002E-02,2.7090E-02,3.5397E-02,3.5400E-02,3.8537E-02,5.1099E-02,6.5143E-02,7.2474E-02,7.2465E-02,6.7789E-02,6.7886E-02,6.9911E-02,7.0037E-02,7.0109E-02,7.8666E-02,7.9528E-02,8.0870E-02,8.0869E-02,8.0868E-02,8.0135E-02,7.5303E-02,7.5301E-02,7.5301E-02,7.5300E-02,7.5299E-02,7.5290E-02,7.5274E-02,7.4407E-02,7.4408E-02
"CaCO3,aq",6.6381E-04,6.6381E-04,6.6381E-04,6.6380E-04,6.6377E-04,6.6345E-04,6.6024E-04,6.2860E-04,4.6473E-04,3.7307E-04,2.3676E-04,2.0835E-04,1.6924E-04,1.6844E-04,1.3341E-04,1.1669E-04,6.5699E-05,4.0429E-05,4.0418E-05,3.0812E-05,9.5717E-06,1.9645E-06,7.9306E-07,7.9193E-07,4.8759E-07,4.7357E-07,2.6218E-07,2.5360E-07,2.4890E-07,2.0386E-08,1.4372E-08,4.2371E-09,4.2371E-09,4.2369E-09,4.1185E-09,3.3469E-09,3.3467E-09,3.3467E-09,3.3465E-09,3.3464E-09,3.3456E-09,3.3442E-09,2.8547E-09,2.8547E-09
"MgCO3,aq",1.8783E-04,1.8783E-04,1.8783E-04,1.8783E-04,1.8781E-04,1.8764E-04,1.8595E-04,1.6997E-04,1.0236E-04,7.3038E-05,3.8068E-05,3.1929E-05,2.4320E-05,2.4196E-05,1.8628E-05,1.5879E-05,7.7142E-06,4.3102E-06,4.3088E-06,3.2028E-06,9.5588E-07,1.9957E-07,8.0164E-08,8.0043E-08,4.7961E-08,4.6537E-08,2.5147E-08,2.4285E-08,2.3813E-08,1.4395E-09,9.2990E-10,1.7014E-10,1.7014E-10,1.7013E-10,1.6261E-10,1.1239E-10,1.1237E-10,1.1237E-10,1.1237E-10,1.1236E-10,1.1232E-10,1.1225E-10,7.2141E-11,7.2141E-11
"NaHCO3,aq",7.0770E-05,7.0770E-05,7.0770E-05,7.0770E-05,7.0775E-05,7.0821E-05,7.1288E-05,7.6093E-05,1.1006E-04,1.4119E-04,2.2912E-04,2.6052E-04,3.1987E-04,3.2152E-04,4.0585E-04,4.5740E-04,6.8308E-04,8.1067E-04,8.1065E-04,7.8248E-04,5.9783E-04,3.0235E-04,1.8544E-04,1.8530E-04,1.3381E-04,1.3166E-04,9.4183E-05,9.2390E-05,9.1395E-05,1.9135E-05,1.4949E-05,5.6243E-06,5.6242E-06,5.6238E-06,5.3928E-06,3.9432E-06,3.9427E-06,3.9427E-06,3.9425E-06,3.9422E-06,3.9408E-06,3.9381E-06,2.9620E-06,2.9620E-06
CaHCO3+,5.4441E-05,5.4441E-05,5.4441E-05,5.4441E-05,5.4445E-05,5.4482E-05,5.4860E-05,5.8806E-05,8.9990E-05,1.2389E-04,2.4792E-04,3.0254E-04,4.1902E-04,4.2229E-04,6.0304E-04,7.2935E-04,1.4961E-03,2.2497E-03,2.2498E-03,2.3591E-03,2.3515E-03,1.4400E-03,9.6596E-04,9.6552E-04,7.5869E-04,7.4790E-04,5.5742E-04,5.4812E-04,5.4297E-04,1.5145E-04,1.2664E-04,6.7841E-05,6.7841E-05,6.7838E-05,6.6272E-05,5.6055E-05,5.6052E-05,5.6052E-05,5.6050E-05,5.6047E-05,5.6034E-05,5.6009E-05,5.1179E-05,5.1179E-05
MgOH+,5.4120E-05,5.4120E-05,5.4120E-05,5.4120E-05,5.4122E-05,5.4141E-05,5.4336E-05,5.6334E-05,6.9952E-05,8.1732E-05,1.1234E-04,1.2256E-04,1.3982E-04,1.4015E-04,1.5766E-04,1.6926E-04,2.3003E-04,2.8045E-04,2.8047E-04,2.9883E-04,3.5460E-04,3.8527E-04,3.9912E-04,3.9916E-04,4.0808E-04,4.0560E-04,3.6016E-04,3.5786E-04,3.5658E-04,2.3382E-04,2.2408E-04,2.0983E-04,2.0983E-04,2.0983E-04,2.1412E-04,2.4458E-04,2.4459E-04,2.4459E-04,2.4460E-04,2.4460E-04,2.4463E-04,2.4469E-04,2.8692E-04,2.8692E-04
HCO3-,5.1844E-05,5.1844E-05,5.1844E-05,5.1844E-05,5.1847E-05,5.1880E-05,5.2204E-05,5.5557E-05,7.9949E-05,1.0337E-04,1.7495E-04,2.0248E-04,2.5501E-04,2.5624E-04,3.2331E-04,3.6900E-04,6.2077E-04,8.1996E-04,8.1997E-04,8.2073E-04,6.9374E-04,3.6921E-04,2.3225E-04,2.3213E-04,1.7885E-04,1.7611E-04,1.2824E-04,1.2593E-04,1.2465E-04,3.0826E-05,2.5238E-05,1.2439E-05,1.2439E-05,1.2438E-05,1.2138E-05,1.0185E-05,1.0185E-05,1.0185E-05,1.0184E-05,1.0184E-05,1.0182E-05,1.0177E-05,9.1569E-06,9.1569E-06
Fe+2,2.9233E-05,2.9233E-05,2.9233E-05,2.9234E-05,2.9237E-05,2.9267E-05,2.9568E-05,3.2683E-05,5.4314E-05,7.2266E-05,1.1124E-04,1.2162E-04,1.3538E-04,1.3547E-04,1.4110E-04,1.4507E-04,1.5974E-04,1.5705E-04,1.5704E-04,1.4847E-04,1.0173E-04,5.7392E-05,4.2318E-05,4.2225E-05,2.1233E-05,2.1265E-05,2.1786E-05,2.1792E-05,2.1796E-05,2.5769E-05,2.7552E-05,4.3206E-05,4.3206E-05,4.3203E-05,4.1700E-05,3.6540E-05,3.6540E-05,3.6540E-05,3.6538E-05,3.6535E-05,3.6521E-05,3.6495E-05,5.0992E-05,5.0992E-05
MgHCO3+,2.9034E-05,2.9034E-05,2.9034E-05,2.9034E-05,2.9036E-05,2.9056E-05,2.9254E-05,3.1338E-05,4.8503E-05,6.8057E-05,1.4439E-04,1.7983E-04,2.5910E-04,2.6145E-04,3.9543E-04,4.9285E-04,1.1236E-03,1.8112E-03,1.8114E-03,1.9512E-03,2.1731E-03,1.4976E-03,1.0526E-03,1.0521E-03,8.3350E-04,8.2187E-04,6.1431E-04,6.0409E-04,5.9841E-04,1.5090E-04,1.2146E-04,5.2554E-05,5.2554E-05,5.2551E-05,5.1176E-05,4.1137E-05,4.1133E-05,4.1133E-05,4.1132E-05,4.1130E-05,4.1119E-05,4.1098E-05,3.3321E-05,3.3321E-05
CO3-2,2.6977E-05,2.6977E-05,2.6977E-05,2.6976E-05,2.6973E-05,2.6936E-05,2.6574E-05,2.3243E-05,1.1151E-05,6.9728E-06,2.9423E-06,2.3545E-06,1.6091E-06,1.5899E-06,9.6716E-07,7.7512E-07,4.0213E-07,2.5279E-07,2.5272E-07,1.9193E-07,5.3694E-08,9.3392E-09,3.6836E-09,3.6784E-09,2.3059E-09,2.2429E-09,1.2945E-09,1.2559E-09,1.2348E-09,1.8266E-10,1.5355E-10,1.2592E-10,1.2592E-10,1.2593E-10,1.2892E-10,1.6072E-10,1.6073E-10,1.6073E-10,1.6074E-10,1.6074E-10,1.6076E-10,1.6079E-10,2.7458E-10,2.7458E-10
FeCl+,2.0091E-05,2.0091E-05,2.0091E-05,2.0091E-05,2.0093E-05,2.0113E-05,2.0316E-05,2.2434E-05,3.8632E-05,5.4687E-05,1.0295E-04,1.2076E-04,1.5513E-04,1.5611E-04,2.0502E-04,2.3411E-04,3.6072E-04,4.5803E-04,4.5806E-04,4.8455E-04,5.6502E-04,5.9638E-04,5.7989E-04,5.7885E-04,3.1445E-04,3.1591E-04,3.4192E-04,3.4293E-04,3.4349E-04,3.8296E-04,3.8017E-04,3.4619E-04,3.4618E-04,3.4614E-04,3.2295E-04,2.1383E-04,2.1380E-04,2.1380E-04,2.1378E-04,2.1376E-04,2.1363E-04,2.1337E-04,1.9560E-04,1.9560E-04
"NaOH,aq",1.1255E-05,1.1255E-05,1.1255E-05,1.1255E-05,1.1255E-05,1.1255E-05,1.1259E-05,1.1282E-05,1.1146E-05,1.0814E-05,9.7278E-06,9.3637E-06,8.6837E-06,8.6613E-06,7.7589E-06,7.3622E-06,6.1162E-06,5.3201E-06,5.3198E-06,5.0323E-06,3.9737E-06,3.0766E-06,2.7401E-06,2.7394E-06,2.5327E-06,2.5112E-06,2.1237E-06,2.1045E-06,2.0937E-06,1.1206E-06,1.0409E-06,8.4791E-07,8.4791E-07,8.4792E-07,8.5225E-07,8.8805E-07,8.8807E-07,8.8807E-07,8.8808E-07,8.8808E-07,8.8810E-07,8.8814E-07,9.7191E-07,9.7191E-07
OH-,9.6099E-06,9.6099E-06,9.6099E-06,9.6099E-06,9.6099E-06,9.6099E-06,9.6099E-06,9.6071E-06,9.4800E-06,9.2985E-06,8.7850E-06,8.6262E-06,8.2237E-06,8.1987E-06,7.3267E-06,7.0519E-06,6.7263E-06,6.6207E-06,6.6206E-06,6.5293E-06,5.8009E-06,4.8189E-06,4.4774E-06,4.4772E-06,4.4507E-06,4.4184E-06,3.8420E-06,3.8136E-06,3.7978E-06,2.5927E-06,2.5702E-06,3.0170E-06,3.0171E-06,3.0172E-06,3.0984E-06,3.8273E-06,3.8277E-06,3.8277E-06,3.8278E-06,3.8279E-06,3.8286E-06,3.8299E-06,5.3131E-06,5.3131E-06
Fe(For)+,6.8906E-06,6.8906E-06,6.8906E-06,6.8906E-06,6.8911E-06,6.8956E-06,6.9412E-06,7.4024E-06,1.0271E-05,1.2418E-05,1.6924E-05,1.8156E-05,2.0215E-05,2.0277E-05,2.2802E-05,2.3823E-05,2.5017E-05,2.3019E-05,2.3018E-05,2.1416E-05,1.2448E-05,3.8871E-06,1.7033E-06,1.6914E-06,1.4908E-07,1.4323E-07,6.0988E-08,5.9168E-08,5.8166E-08,4.5271E-09,2.9855E-09,5.6926E-10,5.6922E-10,5.6897E-10,4.3163E-10,3.8891E-12,3.8821E-12,3.8821E-12,3.8806E-12,3.8791E-12,3.8707E-12,3.8545E-12,2.7166E-12,2.7166E-12
CaOH+,5.0250E-06,5.0250E-06,5.0250E-06,5.0250E-06,5.0256E-06,5.0318E-06,5.0933E-06,5.7387E-06,1.0739E-05,1.5667E-05,2.9819E-05,3.4775E-05,4.3440E-05,4.3620E-05,5.2675E-05,5.8233E-05,8.3911E-05,1.0188E-04,1.0188E-04,1.0763E-04,1.2080E-04,1.2001E-04,1.1754E-04,1.1755E-04,1.1713E-04,1.1630E-04,1.0118E-04,1.0042E-04,9.9989E-05,6.0862E-05,5.7827E-05,5.1773E-05,5.1773E-05,5.1774E-05,5.2284E-05,5.6266E-05,5.6268E-05,5.6268E-05,5.6268E-05,5.6269E-05,5.6271E-05,5.6277E-05,6.3117E-05,6.3117E-05
FeOH+,2.7834E-06,2.7834E-06,2.7834E-06,2.7834E-06,2.7836E-06,2.7856E-06,2.8052E-06,3.0052E-06,4.3238E-06,5.3836E-06,7.7752E-06,8.4700E-06,9.5738E-06,9.5965E-06,1.0643E-05,1.1198E-05,1.3094E-05,1.3896E-05,1.3896E-05,1.3763E-05,1.2261E-05,9.7208E-06,8.3212E-06,8.3064E-06,4.6177E-06,4.6002E-06,4.2153E-06,4.1888E-06,4.1739E-06,2.5042E-06,2.3192E-06,1.7728E-06,1.7728E-06,1.7726E-06,1.6802E-06,1.2473E-06,1.2472E-06,1.2472E-06,1.2471E-06,1.2470E-06,1.2464E-06,1.2452E-06,1.2755E-06,1.2755E-06
"Fe(For)2,aq",1.1568E-06,1.1568E-06,1.1568E-06,1.1568E-06,1.1569E-06,1.1571E-06,1.1596E-06,1.1835E-06,1.2922E-06,1.3484E-06,1.4430E-06,1.4668E-06,1.5224E-06,1.5259E-06,1.6473E-06,1.6775E-06,1.5527E-06,1.2575E-06,1.2573E-06,1.1099E-06,4.4407E-07,6.0071E-08,1.4484E-08,1.4312E-08,2.1785E-10,2.0084E-10,3.5946E-11,3.3858E-11,3.2737E-11,2.2722E-13,1.0194E-13,4.2050E-15,4.2045E-15,4.2012E-15,2.5847E-15,3.0927E-19,3.0819E-19,3.0819E-19,3.0800E-19,3.0778E-19,3.0664E-19,3.0442E-19,1.5901E-19,1.5901E-19
"KOH,aq",4.8235E-07,4.8235E-07,4.8235E-07,4.8235E-07,4.8238E-07,4.8261E-07,4.8497E-07,5.0845E-07,6.3865E-07,7.1717E-07,8.3017E-07,8.4986E-07,8.6562E-07,8.6518E-07,8.5353E-07,8.5226E-07,8.4467E-07,8.0520E-07,8.0518E-07,7.8251E-07,6.6935E-07,5.4804E-07,4.9760E-07,4.9747E-07,4.5695E-07,4.5317E-07,3.8481E-07,3.8140E-07,3.7950E-07,2.0274E-07,1.8746E-07,1.4764E-07,1.4764E-07,1.4764E-07,1.4813E-07,1.5211E-07,1.5211E-07,1.5211E-07,1.5211E-07,1.5211E-07,1.5212E-07,1.5212E-07,1.6252E-07,1.6252E-07
"NaHSiO3,aq",9.2035E-08,9.2035E-08,9.2035E-08,9.2035E-08,9.2032E-08,9.2005E-08,9.1738E-08,8.9121E-08,7.5701E-08,6.7811E-08,5.4380E-08,5.1085E-08,4.5738E-08,4.5589E-08,3.9597E-08,3.6979E-08,2.9162E-08,2.4773E-08,2.4771E-08,2.3258E-08,1.7990E-08,1.3749E-08,1.2181E-08,1.2177E-08,1.0980E-08,1.1113E-08,1.4171E-08,1.4372E-08,1.4487E-08,4.8797E-08,6.0309E-08,1.5094E-07,1.5094E-07,1.5094E-07,1.5073E-07,1.5450E-07,1.5450E-07,1.5450E-07,1.5450E-07,1.5450E-07,1.5450E-07,1.5449E-07,1.7712E-07,1.7712E-07
HFeO2-,2.5945E-08,2.5945E-08,2.5945E-08,2.5944E-08,2.5943E-08,2.5926E-08,2.5757E-08,2.4174E-08,1.7765E-08,1.5120E-08,1.2085E-08,1.1565E-08,1.0108E-08,9.9974E-09,6.9898E-09,6.4936E-09,8.5041E-09,1.1480E-08,1.1481E-08,1.2030E-08,1.0476E-08,7.5339E-09,7.9576E-09,7.9512E-09,6.1241E-09,6.0870E-09,5.5876E-09,5.5675E-09,5.5570E-09,1.5540E-08,2.4970E-08,5.4252E-07,5.4254E-07,5.4269E-07,6.3757E-07,2.6505E-06,2.6524E-06,2.6524E-06,2.6528E-06,2.6533E-06,2.6559E-06,2.6610E-06,3.3568E-05,3.3568E-05
