Variables,Step0,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41,Step42,Step43
gNa+,0.0649,0.0649,0.0649,0.0649,0.0649,0.0650,0.0655,0.0700,0.0848,0.0849,0.0658,0.0570,0.0407,0.0403,0.0225,0.0117,-0.0494,-0.1166,-0.1167,-0.1467,-0.2835,-0.4550,-0.5556,-0.5558,-0.6112,-0.6131,-0.6522,-0.6545,-0.6558,-0.8664,-0.9051,-1.0731,-1.0731,-1.0731,-1.0791,-1.1262,-1.1262,-1.1262,-1.1262,-1.1262,-1.1263,-1.1263,-1.1993,-1.1993
"gNaCl,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gCa+2,-0.3493,-0.3493,-0.3493,-0.3493,-0.3493,-0.3493,-0.3487,-0.3435,-0.3315,-0.3396,-0.3887,-0.4084,-0.4400,-0.4403,-0.4638,-0.4856,-0.6342,-0.7836,-0.7837,-0.8447,-1.1012,-1.4179,-1.6188,-1.6192,-1.7365,-1.7407,-1.8292,-1.8344,-1.8374,-2.3674,-2.4739,-2.9684,-2.9684,-2.9685,-2.9888,-3.1494,-3.1495,-3.1495,-3.1495,-3.1495,-3.1496,-3.1499,-3.3935,-3.3935
gK+,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0015,-0.0011,0.0031,0.0162,0.0151,-0.0071,-0.0169,-0.0341,-0.0344,-0.0514,-0.0629,-0.1323,-0.2067,-0.2067,-0.2391,-0.3832,-0.5631,-0.6711,-0.6713,-0.7300,-0.7321,-0.7756,-0.7782,-0.7796,-1.0236,-1.0702,-1.2796,-1.2796,-1.2796,-1.2873,-1.3485,-1.3486,-1.3486,-1.3486,-1.3486,-1.3486,-1.3487,-1.4469,-1.4469
"gCaCl2,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gCaCl+,0.0649,0.0649,0.0649,0.0649,0.0649,0.0650,0.0655,0.0700,0.0848,0.0849,0.0658,0.0570,0.0407,0.0403,0.0225,0.0117,-0.0494,-0.1166,-0.1167,-0.1467,-0.2835,-0.4550,-0.5556,-0.5558,-0.6112,-0.6131,-0.6522,-0.6545,-0.6558,-0.8664,-0.9051,-1.0731,-1.0731,-1.0731,-1.0791,-1.1262,-1.1262,-1.1262,-1.1262,-1.1262,-1.1263,-1.1263,-1.1993,-1.1993
gMgCl+,0.0649,0.0649,0.0649,0.0649,0.0649,0.0650,0.0655,0.0700,0.0848,0.0849,0.0658,0.0570,0.0407,0.0403,0.0225,0.0117,-0.0494,-0.1166,-0.1167,-0.1467,-0.2835,-0.4550,-0.5556,-0.5558,-0.6112,-0.6131,-0.6522,-0.6545,-0.6558,-0.8664,-0.9051,-1.0731,-1.0731,-1.0731,-1.0791,-1.1262,-1.1262,-1.1262,-1.1262,-1.1262,-1.1263,-1.1263,-1.1993,-1.1993
gMg+2,-0.1713,-0.1713,-0.1713,-0.1713,-0.1713,-0.1712,-0.1706,-0.1647,-0.1482,-0.1527,-0.1933,-0.2103,-0.2389,-0.2393,-0.2643,-0.2839,-0.4092,-0.5385,-0.5385,-0.5929,-0.8282,-1.1204,-1.3004,-1.3008,-1.4059,-1.4094,-1.4856,-1.4900,-1.4926,-1.9310,-2.0163,-2.4017,-2.4017,-2.4018,-2.4172,-2.5387,-2.5388,-2.5388,-2.5388,-2.5388,-2.5389,-2.5390,-2.7189,-2.7189
"gNa(For),aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gMg(For)+,0.0649,0.0649,0.0649,0.0649,0.0649,0.0650,0.0655,0.0700,0.0848,0.0849,0.0658,0.0570,0.0407,0.0403,0.0225,0.0117,-0.0494,-0.1166,-0.1167,-0.1467,-0.2835,-0.4550,-0.5556,-0.5558,-0.6112,-0.6131,-0.6522,-0.6545,-0.6558,-0.8664,-0.9051,-1.0731,-1.0731,-1.0731,-1.0791,-1.1262,-1.1262,-1.1262,-1.1262,-1.1262,-1.1263,-1.1263,-1.1993,-1.1993
"gH2,aq",0.5896,0.5896,0.5896,0.5896,0.5895,0.5894,0.5878,0.5727,0.4941,0.4488,0.3785,0.3637,0.3427,0.3422,0.3221,0.3143,0.3029,0.3083,0.3083,0.3118,0.3295,0.3522,0.3653,0.3653,0.3567,0.3569,0.3611,0.3614,0.3616,0.3902,0.3963,0.4282,0.4282,0.4282,0.4279,0.4279,0.4279,0.4279,0.4279,0.4279,0.4279,0.4278,0.4487,0.4487
"gFORMATE,aq",-0.1892,-0.1892,-0.1892,-0.1892,-0.1892,-0.1892,-0.1893,-0.1903,-0.1971,-0.2025,-0.2157,-0.2199,-0.2253,-0.2252,-0.2260,-0.2301,-0.2639,-0.2931,-0.2931,-0.3032,-0.3376,-0.3782,-0.4109,-0.4110,-0.4329,-0.4338,-0.4528,-0.4540,-0.4547,-0.5940,-0.6265,-0.7958,-0.7958,-0.7958,-0.8039,-0.8691,-0.8692,-0.8692,-0.8692,-0.8692,-0.8692,-0.8693,-0.9714,-0.9714
