Variables,Step0,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41
"HCl,aq",2.5914E-09,2.5914E-09,2.5914E-09,2.5914E-09,2.5915E-09,2.5921E-09,2.5983E-09,2.6612E-09,3.3714E-09,1.2960E-08,2.8241E-08,1.6109E-07,1.9685E-07,3.6511E-07,3.6990E-07,8.3666E-07,1.0027E-06,4.1897E-06,1.4522E-05,4.3300E-05,1.1919E-04,1.4559E-04,1.7642E-04,1.7642E-04,1.8339E-04,2.3607E-04,2.3992E-04,2.7320E-04,2.8023E-04,3.7585E-04,2.4246E-03,9.3445E-03,9.3446E-03,9.3541E-03,1.0436E-02,1.1757E-02,1.1758E-02,1.1758E-02,1.1758E-02,1.1758E-02,1.8715E-02,1.8715E-02
H+,7.9665E-10,7.9665E-10,7.9665E-10,7.9665E-10,7.9667E-10,7.9689E-10,7.9911E-10,8.2155E-10,1.0799E-09,5.0062E-09,1.1914E-08,7.6943E-08,9.4605E-08,1.7925E-07,1.8196E-07,4.2546E-07,5.0342E-07,1.6321E-06,4.2149E-06,1.0016E-05,2.1480E-05,2.4475E-05,2.7463E-05,2.7464E-05,2.8188E-05,3.3061E-05,3.3413E-05,3.6326E-05,3.6911E-05,4.4042E-05,9.1064E-05,9.7553E-05,9.7552E-05,9.7492E-05,9.1054E-05,8.6521E-05,8.6518E-05,8.6518E-05,8.6515E-05,8.6511E-05,6.9788E-05,6.9788E-05
"NaHSiO3,aq",7.3844E-10,7.3844E-10,7.3844E-10,7.3844E-10,7.3844E-10,7.3841E-10,7.3816E-10,7.3564E-10,7.1117E-10,5.8682E-10,5.2611E-10,4.1341E-10,4.0179E-10,3.6484E-10,3.6385E-10,3.1195E-10,3.0258E-10,2.4328E-10,1.9987E-10,1.6091E-10,1.2809E-10,1.2297E-10,1.1868E-10,1.1868E-10,1.1717E-10,1.0666E-10,1.0788E-10,1.1820E-10,1.2038E-10,1.4863E-10,5.6539E-10,1.5332E-09,1.5332E-09,1.5331E-09,1.5226E-09,1.5618E-09,1.5618E-09,1.5618E-09,1.5618E-09,1.5616E-09,1.7811E-09,1.7811E-09
MgHSiO3+,7.3127E-10,7.3127E-10,7.3127E-10,7.3127E-10,7.3127E-10,7.3132E-10,7.3180E-10,7.3664E-10,7.8675E-10,1.1698E-09,1.4957E-09,2.6556E-09,2.8360E-09,3.4429E-09,3.4552E-09,4.3167E-09,4.5358E-09,6.7349E-09,9.3161E-09,1.1579E-08,1.3083E-08,1.3358E-08,1.3644E-08,1.3644E-08,1.3694E-08,1.4058E-08,1.4257E-08,1.5957E-08,1.6319E-08,2.1126E-08,1.0941E-07,3.8300E-07,3.8300E-07,3.8318E-07,4.0359E-07,4.2820E-07,4.2821E-07,4.2821E-07,4.2822E-07,4.2821E-07,5.4579E-07,5.4579E-07
"SiO2,aq",4.6979E-10,4.6979E-10,4.6979E-10,4.6979E-10,4.6980E-10,4.6995E-10,4.7141E-10,4.8617E-10,6.5784E-10,3.3452E-09,7.9576E-09,4.6305E-08,5.6050E-08,1.0045E-07,1.0170E-07,2.1392E-07,2.5065E-07,8.3012E-07,2.2546E-06,5.3006E-06,1.0996E-05,1.2531E-05,1.4128E-05,1.4128E-05,1.4470E-05,1.6979E-05,1.7399E-05,2.1144E-05,2.1967E-05,3.3887E-05,3.7319E-04,1.4664E-03,1.4664E-03,1.4664E-03,1.4648E-03,1.4923E-03,1.4924E-03,1.4924E-03,1.4923E-03,1.4923E-03,1.6021E-03,1.6021E-03
"CO,aq",1.3368E-10,1.3368E-10,1.3368E-10,1.3368E-10,1.3369E-10,1.3375E-10,1.3435E-10,1.4051E-10,2.1903E-10,2.7942E-09,1.2361E-08,3.5501E-07,5.2383E-07,1.7367E-06,1.7808E-06,8.6241E-06,1.2246E-05,1.9372E-04,1.9400E-03,1.0772E-02,2.9562E-02,3.3532E-02,3.7011E-02,3.7008E-02,3.2435E-02,7.5103E-03,7.3549E-03,6.1941E-03,6.1677E-03,5.8546E-03,4.3004E-03,4.2105E-03,4.2101E-03,4.1777E-03,8.4641E-04,4.9175E-05,4.9135E-05,4.9131E-05,4.9119E-05,4.9054E-05,6.8729E-05,6.8729E-05
CaHSiO3+,9.5038E-11,9.5038E-11,9.5038E-11,9.5038E-11,9.5039E-11,9.5049E-11,9.5144E-11,9.6101E-11,1.0611E-10,1.8751E-10,2.6159E-10,5.4614E-10,5.9270E-10,7.5404E-10,7.5740E-10,9.8488E-10,1.0414E-09,1.6067E-09,2.3013E-09,2.9636E-09,3.4878E-09,3.6004E-09,3.7224E-09,3.7224E-09,3.7505E-09,3.9546E-09,4.0129E-09,4.5114E-09,4.6176E-09,6.0391E-09,3.3952E-08,1.2281E-07,1.2281E-07,1.2284E-07,1.2687E-07,1.3413E-07,1.3414E-07,1.3414E-07,1.3414E-07,1.3413E-07,1.6869E-07,1.6869E-07
HSiO3-,6.7086E-11,6.7086E-11,6.7086E-11,6.7086E-11,6.7087E-11,6.7093E-11,6.7150E-11,6.7726E-11,7.3681E-11,1.1850E-10,1.5536E-10,2.7882E-10,2.9737E-10,3.5797E-10,3.5901E-10,4.3440E-10,4.5415E-10,6.5555E-10,8.9036E-10,1.0979E-09,1.2526E-09,1.2831E-09,1.3146E-09,1.3146E-09,1.3218E-09,1.3745E-09,1.3940E-09,1.5597E-09,1.5949E-09,2.0609E-09,1.0178E-08,3.2657E-08,3.2657E-08,3.2667E-08,3.3871E-08,3.5504E-08,3.5505E-08,3.5505E-08,3.5505E-08,3.5505E-08,4.3192E-08,4.3192E-08
"FORMALDEHYDE,aq",3.3893E-12,3.3893E-12,3.3893E-12,3.3893E-12,3.3894E-12,3.3910E-12,3.4060E-12,3.5596E-12,5.5007E-12,6.3570E-11,2.5922E-10,6.1001E-09,8.7870E-09,2.6958E-08,2.7593E-08,1.1869E-07,1.6380E-07,1.9975E-06,1.4820E-05,5.1948E-05,6.4764E-05,6.0061E-05,5.3780E-05,5.3768E-05,3.7987E-05,1.3222E-06,1.2489E-06,7.8403E-07,7.5959E-07,5.2402E-07,5.0323E-08,1.3121E-08,1.3118E-08,1.2906E-08,4.8473E-10,1.4271E-12,1.4248E-12,1.4245E-12,1.4238E-12,1.4203E-12,1.5757E-12,1.5757E-12
"FeCl2,aq",1.1689E-12,1.1689E-12,1.1689E-12,1.1689E-12,1.1690E-12,1.1697E-12,1.1768E-12,1.2499E-12,2.2677E-12,6.5614E-11,4.5148E-10,3.2166E-08,5.2306E-08,2.3549E-07,2.4347E-07,1.8213E-06,2.7953E-06,6.9845E-05,9.9490E-04,9.3260E-03,5.7264E-02,7.7504E-02,1.0114E-01,1.0114E-01,9.9926E-02,7.4968E-02,7.6114E-02,8.5699E-02,8.7548E-02,1.1070E-01,2.8687E-01,3.4850E-01,3.4849E-01,3.4764E-01,2.6745E-01,2.5626E-01,2.5624E-01,2.5623E-01,2.5620E-01,2.5606E-01,2.4838E-01,2.4838E-01
"HFeO2,aq",2.5538E-14,2.5538E-14,2.5538E-14,2.5538E-14,2.5539E-14,2.5549E-14,2.5655E-14,2.6729E-14,3.9960E-14,3.4522E-13,1.0703E-12,9.4473E-12,1.1759E-11,2.2196E-11,2.2479E-11,4.6707E-11,5.4059E-11,1.4139E-10,2.4727E-10,3.2933E-10,3.7409E-10,3.7907E-10,3.8305E-10,3.8305E-10,3.9514E-10,5.2211E-10,5.2439E-10,5.4316E-10,5.3790E-10,4.8101E-10,2.4744E-10,1.6846E-10,1.6846E-10,1.6880E-10,3.0727E-10,1.2656E-09,1.2660E-09,1.2660E-09,1.2660E-09,1.2663E-09,1.2082E-09,1.2082E-09
FeO2-,2.1657E-15,2.1657E-15,2.1657E-15,2.1657E-15,2.1658E-15,2.1665E-15,2.1733E-15,2.2433E-15,3.0639E-15,1.7023E-14,4.3501E-14,2.9906E-13,3.6762E-13,6.7618E-13,6.8408E-13,1.3956E-12,1.6287E-12,5.2366E-12,1.3068E-11,2.6545E-11,4.8134E-11,5.3965E-11,6.0268E-11,6.0270E-11,6.3743E-11,9.9369E-11,9.9657E-11,1.0214E-10,1.0095E-10,8.8622E-11,4.8599E-11,4.1050E-11,4.1052E-11,4.1162E-11,8.0480E-11,3.5222E-10,3.5235E-10,3.5236E-10,3.5238E-10,3.5246E-10,4.2370E-10,4.2370E-10
FeO+,4.9657E-16,4.9657E-16,4.9657E-16,4.9657E-16,4.9659E-16,4.9679E-16,4.9870E-16,5.1821E-16,7.5547E-16,5.8759E-15,1.7711E-14,1.6097E-13,2.0259E-13,3.9967E-13,4.0528E-13,9.0849E-13,1.0701E-12,3.3273E-12,7.2956E-12,1.2541E-11,1.8329E-11,1.9517E-11,2.0681E-11,2.0682E-11,2.1515E-11,2.9948E-11,3.0342E-11,3.3696E-11,3.3826E-11,3.5351E-11,4.6667E-11,6.0221E-11,6.0222E-11,6.0351E-11,1.1167E-10,4.7678E-10,4.7694E-10,4.7695E-10,4.7696E-10,4.7703E-10,5.2752E-10,5.2752E-10
FeOH+2,2.4272E-20,2.4272E-20,2.4272E-20,2.4272E-20,2.4274E-20,2.4285E-20,2.4402E-20,2.5595E-20,4.0966E-20,5.5847E-19,2.3850E-18,5.0024E-17,6.9585E-17,1.8428E-16,1.8767E-16,5.8781E-16,7.5663E-16,5.3089E-15,2.4294E-14,7.2184E-14,1.6492E-13,1.9377E-13,2.2755E-13,2.2756E-13,2.4213E-13,3.9728E-13,4.0773E-13,5.0278E-13,5.1529E-13,6.8806E-13,5.9335E-12,4.3072E-11,4.3074E-11,4.3235E-11,9.5031E-11,4.8603E-10,4.8624E-10,4.8626E-10,4.8629E-10,4.8636E-10,1.1039E-09,1.1039E-09
FeCl+2,3.0497E-24,3.0497E-24,3.0497E-24,3.0497E-24,3.0498E-24,3.0516E-24,3.0690E-24,3.2479E-24,5.6806E-24,1.2905E-22,7.4415E-22,3.1024E-20,4.6778E-20,1.5906E-19,1.6284E-19,7.1406E-19,9.9193E-19,1.2785E-17,9.8029E-17,4.4425E-16,1.4354E-15,1.7942E-15,2.2306E-15,2.2307E-15,2.3826E-15,3.9355E-15,4.0763E-15,5.4108E-15,5.6263E-15,8.8621E-15,2.0195E-13,2.8148E-12,2.8150E-12,2.8258E-12,6.2853E-12,3.3390E-11,3.3405E-11,3.3406E-11,3.3409E-11,3.3411E-11,8.9816E-11,8.9816E-11
Fe+3,2.2224E-26,2.2224E-26,2.2224E-26,2.2224E-26,2.2225E-26,2.2238E-26,2.2360E-26,2.3616E-26,4.0459E-26,7.9542E-25,4.1229E-24,1.2607E-22,1.8216E-22,5.3126E-22,5.4120E-22,1.7936E-21,2.3567E-21,2.0140E-20,1.0020E-19,2.5931E-19,4.3280E-19,4.7530E-19,5.2506E-19,5.2508E-19,5.5028E-19,8.3015E-19,8.5585E-19,1.0950E-18,1.1306E-18,1.6496E-18,3.1905E-17,5.8289E-16,5.8293E-16,5.8561E-16,1.4217E-15,8.0063E-15,8.0104E-15,8.0107E-15,8.0116E-15,8.0130E-15,2.6653E-14,2.6653E-14
"H2O2,aq",3.5556E-64,3.5556E-64,3.5556E-64,3.5556E-64,3.5562E-64,3.5630E-64,3.6305E-64,4.3792E-64,2.7892E-63,9.3419E-59,3.4210E-56,1.1760E-50,4.8849E-50,3.7360E-48,4.0923E-48,1.0590E-45,3.5054E-45,3.1796E-41,6.0454E-38,3.8922E-35,1.3532E-32,4.1461E-32,1.1987E-31,1.1990E-31,1.8232E-31,4.6974E-30,5.0612E-30,9.2409E-30,1.0078E-29,2.7292E-29,9.9863E-27,3.5933E-25,3.5939E-25,3.6342E-25,2.5751E-24,6.3616E-23,6.3679E-23,6.3686E-23,6.3707E-23,6.3789E-23,1.7547E-22,1.7547E-22
HO2-,4.1799E-67,4.1799E-67,4.1799E-67,4.1799E-67,4.1806E-67,4.1880E-67,4.2617E-67,5.0732E-67,2.8363E-66,4.5241E-62,1.0793E-59,1.4280E-54,5.3164E-54,2.8819E-52,3.1313E-52,5.0127E-50,1.5016E-49,6.5620E-46,6.8911E-43,2.6321E-40,5.7201E-38,1.6084E-37,4.2979E-37,4.2991E-37,6.4237E-37,1.4634E-35,1.5609E-35,2.6299E-35,2.8240E-35,6.4191E-35,9.3700E-33,2.1605E-31,2.1608E-31,2.1849E-31,1.5335E-30,3.7522E-29,3.7560E-29,3.7564E-29,3.7576E-29,3.7624E-29,1.0119E-28,1.0119E-28
"O2,aq",4.1198E-93,4.1198E-93,4.1198E-93,4.1198E-93,4.1209E-93,4.1324E-93,4.2473E-93,5.5862E-93,8.3791E-92,3.7015E-85,2.2412E-81,3.5325E-73,2.9236E-72,1.8385E-69,2.1059E-69,8.3691E-66,5.0003E-65,4.2283E-59,3.7195E-54,7.3373E-50,7.1044E-46,4.2493E-45,2.3446E-44,2.3458E-44,4.9333E-44,1.7886E-41,2.0391E-41,5.8793E-41,6.8000E-41,3.6312E-40,8.5839E-36,4.2997E-33,4.3009E-33,4.3944E-33,2.0300E-31,1.1362E-28,1.1385E-28,1.1387E-28,1.1394E-28,1.1424E-28,6.2615E-28,6.2615E-28
gCl-,-0.2670,-0.2670,-0.2670,-0.2670,-0.2670,-0.2670,-0.2670,-0.2672,-0.2686,-0.2784,-0.2854,-0.3057,-0.3085,-0.3156,-0.3155,-0.3179,-0.3210,-0.3664,-0.4196,-0.4660,-0.5215,-0.5371,-0.5543,-0.5543,-0.5584,-0.5884,-0.5896,-0.5992,-0.6011,-0.6252,-0.8599,-1.1225,-1.1225,-1.1228,-1.1576,-1.1920,-1.1920,-1.1920,-1.1920,-1.1921,-1.3299,-1.3299
gMgCl+,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2820,0.2830,0.2926,0.3313,0.3398,0.3207,0.3155,0.2941,0.2933,0.2553,0.2483,0.1809,0.0575,-0.1417,-0.4064,-0.4655,-0.5236,-0.5237,-0.5379,-0.6320,-0.6348,-0.6573,-0.6617,-0.7126,-1.0324,-1.2246,-1.2246,-1.2248,-1.2386,-1.2545,-1.2546,-1.2546,-1.2546,-1.2545,-1.3092,-1.3092
"gCaCl2,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gMg+2,0.1521,0.1521,0.1521,0.1521,0.1521,0.1522,0.1523,0.1537,0.1674,0.2194,0.2276,0.1854,0.1756,0.1392,0.1382,0.0817,0.0691,-0.0656,-0.2884,-0.6171,-1.0487,-1.1474,-1.2457,-1.2457,-1.2700,-1.4337,-1.4387,-1.4787,-1.4866,-1.5788,-2.2061,-2.6422,-2.6422,-2.6426,-2.6841,-2.7261,-2.7261,-2.7261,-2.7261,-2.7261,-2.8754,-2.8754
gCa+2,-0.0373,-0.0373,-0.0373,-0.0373,-0.0373,-0.0373,-0.0371,-0.0358,-0.0230,0.0236,0.0280,-0.0253,-0.0366,-0.0764,-0.0772,-0.1333,-0.1475,-0.3080,-0.5606,-0.9136,-1.3741,-1.4810,-1.5885,-1.5886,-1.6149,-1.7938,-1.7993,-1.8446,-1.8535,-1.9588,-2.7117,-3.2839,-3.2839,-3.2844,-3.3430,-3.4023,-3.4023,-3.4023,-3.4023,-3.4023,-3.6204,-3.6204
gCaCl+,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2820,0.2830,0.2926,0.3313,0.3398,0.3207,0.3155,0.2941,0.2933,0.2553,0.2483,0.1809,0.0575,-0.1417,-0.4064,-0.4655,-0.5236,-0.5237,-0.5379,-0.6320,-0.6348,-0.6573,-0.6617,-0.7126,-1.0324,-1.2246,-1.2246,-1.2248,-1.2386,-1.2545,-1.2546,-1.2546,-1.2546,-1.2545,-1.3092,-1.3092
gK+,0.2077,0.2077,0.2077,0.2077,0.2077,0.2077,0.2078,0.2088,0.2181,0.2545,0.2614,0.2381,0.2323,0.2097,0.2090,0.1715,0.1639,0.0867,-0.0482,-0.2567,-0.5325,-0.5949,-0.6566,-0.6567,-0.6717,-0.7707,-0.7737,-0.7981,-0.8029,-0.8590,-1.2286,-1.4763,-1.4763,-1.4765,-1.4967,-1.5197,-1.5197,-1.5197,-1.5197,-1.5197,-1.6034,-1.6034
gMg(For)+,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2820,0.2830,0.2926,0.3313,0.3398,0.3207,0.3155,0.2941,0.2933,0.2553,0.2483,0.1809,0.0575,-0.1417,-0.4064,-0.4655,-0.5236,-0.5237,-0.5379,-0.6320,-0.6348,-0.6573,-0.6617,-0.7126,-1.0324,-1.2246,-1.2246,-1.2248,-1.2386,-1.2545,-1.2546,-1.2546,-1.2546,-1.2545,-1.3092,-1.3092
gNa+,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2820,0.2830,0.2926,0.3313,0.3398,0.3207,0.3155,0.2941,0.2933,0.2553,0.2483,0.1809,0.0575,-0.1417,-0.4064,-0.4655,-0.5236,-0.5237,-0.5379,-0.6320,-0.6348,-0.6573,-0.6617,-0.7126,-1.0324,-1.2246,-1.2246,-1.2248,-1.2386,-1.2545,-1.2546,-1.2546,-1.2546,-1.2545,-1.3092,-1.3092
"gNaCl,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"gMgCO3,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"gCaCO3,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"gMg(For)2,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gMgHCO3+,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2820,0.2830,0.2926,0.3313,0.3398,0.3207,0.3155,0.2941,0.2933,0.2553,0.2483,0.1809,0.0575,-0.1417,-0.4064,-0.4655,-0.5236,-0.5237,-0.5379,-0.6320,-0.6348,-0.6573,-0.6617,-0.7126,-1.0324,-1.2246,-1.2246,-1.2248,-1.2386,-1.2545,-1.2546,-1.2546,-1.2546,-1.2545,-1.3092,-1.3092
"gFORMATE,aq",-0.1929,-0.1929,-0.1929,-0.1929,-0.1929,-0.1929,-0.1929,-0.1930,-0.1941,-0.2016,-0.2070,-0.2231,-0.2253,-0.2312,-0.2311,-0.2340,-0.2365,-0.2722,-0.3139,-0.3509,-0.3954,-0.4077,-0.4213,-0.4213,-0.4247,-0.4498,-0.4507,-0.4583,-0.4598,-0.4788,-0.6637,-0.8708,-0.8708,-0.8710,-0.8996,-0.9269,-0.9269,-0.9269,-0.9269,-0.9269,-1.0356,-1.0356
gCaHCO3+,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2820,0.2830,0.2926,0.3313,0.3398,0.3207,0.3155,0.2941,0.2933,0.2553,0.2483,0.1809,0.0575,-0.1417,-0.4064,-0.4655,-0.5236,-0.5237,-0.5379,-0.6320,-0.6348,-0.6573,-0.6617,-0.7126,-1.0324,-1.2246,-1.2246,-1.2248,-1.2386,-1.2545,-1.2546,-1.2546,-1.2546,-1.2545,-1.3092,-1.3092
gHCO3-,-0.1929,-0.1929,-0.1929,-0.1929,-0.1929,-0.1929,-0.1929,-0.1930,-0.1941,-0.2016,-0.2070,-0.2231,-0.2253,-0.2312,-0.2311,-0.2340,-0.2365,-0.2722,-0.3139,-0.3509,-0.3954,-0.4077,-0.4213,-0.4213,-0.4247,-0.4498,-0.4507,-0.4583,-0.4598,-0.4788,-0.6637,-0.8708,-0.8708,-0.8710,-0.8996,-0.9269,-0.9269,-0.9269,-0.9269,-0.9269,-1.0356,-1.0356
"gKCl,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"gNa(For),aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gCO3-2,-1.1286,-1.1286,-1.1286,-1.1286,-1.1286,-1.1286,-1.1287,-1.1296,-1.1390,-1.1888,-1.2152,-1.2706,-1.2772,-1.2884,-1.2875,-1.2729,-1.2792,-1.3953,-1.5066,-1.5537,-1.5951,-1.6146,-1.6400,-1.6400,-1.6459,-1.6976,-1.6999,-1.7193,-1.7233,-1.7743,-2.3520,-3.0569,-3.0569,-3.0578,-3.1584,-3.2535,-3.2535,-3.2535,-3.2536,-3.2536,-3.6325,-3.6325
"gNaHCO3,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gMgOH+,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2820,0.2830,0.2926,0.3313,0.3398,0.3207,0.3155,0.2941,0.2933,0.2553,0.2483,0.1809,0.0575,-0.1417,-0.4064,-0.4655,-0.5236,-0.5237,-0.5379,-0.6320,-0.6348,-0.6573,-0.6617,-0.7126,-1.0324,-1.2246,-1.2246,-1.2248,-1.2386,-1.2545,-1.2546,-1.2546,-1.2546,-1.2545,-1.3092,-1.3092
gFeCl+,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2820,0.2830,0.2926,0.3313,0.3398,0.3207,0.3155,0.2941,0.2933,0.2553,0.2483,0.1809,0.0575,-0.1417,-0.4064,-0.4655,-0.5236,-0.5237,-0.5379,-0.6320,-0.6348,-0.6573,-0.6617,-0.7126,-1.0324,-1.2246,-1.2246,-1.2248,-1.2386,-1.2545,-1.2546,-1.2546,-1.2546,-1.2545,-1.3092,-1.3092
gFe+2,-0.0373,-0.0373,-0.0373,-0.0373,-0.0373,-0.0373,-0.0371,-0.0358,-0.0230,0.0236,0.0280,-0.0253,-0.0366,-0.0764,-0.0772,-0.1333,-0.1475,-0.3080,-0.5606,-0.9136,-1.3741,-1.4810,-1.5885,-1.5886,-1.6149,-1.7938,-1.7993,-1.8446,-1.8535,-1.9588,-2.7117,-3.2839,-3.2839,-3.2844,-3.3430,-3.4023,-3.4023,-3.4023,-3.4023,-3.4023,-3.6204,-3.6204
"gH2,aq",0.9074,0.9074,0.9074,0.9074,0.9074,0.9074,0.9072,0.9050,0.8835,0.7635,0.6980,0.5711,0.5588,0.5227,0.5218,0.4778,0.4712,0.4469,0.4570,0.4857,0.5285,0.5386,0.5485,0.5485,0.5482,0.5362,0.5366,0.5402,0.5410,0.5500,0.6161,0.6818,0.6818,0.6817,0.6759,0.6821,0.6821,0.6821,0.6821,0.6820,0.7212,0.7212
gFe(For)+,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2820,0.2830,0.2926,0.3313,0.3398,0.3207,0.3155,0.2941,0.2933,0.2553,0.2483,0.1809,0.0575,-0.1417,-0.4064,-0.4655,-0.5236,-0.5237,-0.5379,-0.6320,-0.6348,-0.6573,-0.6617,-0.7126,-1.0324,-1.2246,-1.2246,-1.2248,-1.2386,-1.2545,-1.2546,-1.2546,-1.2546,-1.2545,-1.3092,-1.3092
