Variables,Step0,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41
CHRYSOTILE_pcss_out,3.5265E+00,3.5265E+00,3.5265E+00,3.5265E+00,3.5265E+00,3.5265E+00,3.5265E+00,3.5267E+00,3.5276E+00,3.5322E+00,3.5335E+00,3.5315E+00,3.5308E+00,3.5284E+00,3.5283E+00,3.5239E+00,3.5230E+00,3.5162E+00,3.5097E+00,3.5094E+00,3.5240E+00,3.5286E+00,3.5296E+00,3.5295E+00,3.3769E+00,1.8080E+00,1.8041E+00,1.7752E+00,1.7741E+00,1.7622E+00,1.7185E+00,1.6994E+00,1.6992E+00,1.6872E+00,2.6922E-01,4.9550E-03,4.3124E-03,4.0834E-03,3.4129E-03,,,
GREENALITE_pcss_out,4.9659E-02,4.9659E-02,4.9659E-02,4.9659E-02,4.9659E-02,4.9659E-02,4.9659E-02,4.9657E-02,4.9646E-02,5.0051E-02,5.1020E-02,5.6314E-02,5.7197E-02,6.0264E-02,6.0344E-02,6.5250E-02,6.6318E-02,7.5039E-02,8.3340E-02,8.6207E-02,7.6728E-02,7.3461E-02,6.9857E-02,6.9851E-02,6.1542E-02,1.5911E-02,1.5918E-02,1.5957E-02,1.5973E-02,1.6110E-02,1.5699E-02,1.5959E-02,1.5956E-02,1.5803E-02,1.9326E-03,3.4487E-05,3.0012E-05,2.8418E-05,2.3749E-05,,,
CRONSTEDTITE_pcss_out,1.5597E-01,1.5597E-01,1.5597E-01,1.5597E-01,1.5597E-01,1.5597E-01,1.5595E-01,1.5575E-01,1.5382E-01,1.4393E-01,1.3941E-01,1.3283E-01,1.3232E-01,1.3106E-01,1.3106E-01,1.3007E-01,1.2969E-01,1.2590E-01,1.2235E-01,1.1709E-01,1.0693E-01,1.0430E-01,1.0149E-01,1.0148E-01,9.4174E-02,3.8849E-02,3.8881E-02,3.9160E-02,3.8740E-02,3.4226E-02,1.6614E-02,1.1528E-02,1.1527E-02,1.1445E-02,2.5045E-03,1.4241E-04,1.2397E-04,1.1739E-04,9.8109E-05,,,
BRUCITE-SS_out,1.1115E+00,1.1115E+00,1.1115E+00,1.1115E+00,1.1115E+00,1.1115E+00,1.1114E+00,1.1107E+00,1.1037E+00,1.0730E+00,1.0637E+00,1.0657E+00,1.0675E+00,1.0751E+00,1.0754E+00,1.0910E+00,1.0941E+00,1.1250E+00,1.1773E+00,1.2316E+00,1.2549E+00,1.2592E+00,1.2633E+00,1.2633E+00,1.1959E+00,,,,,,,,,,,,,,,,,
BRUCITE_pcss_out,8.8353E-01,8.8353E-01,8.8353E-01,8.8353E-01,8.8353E-01,8.8353E-01,8.8353E-01,8.8349E-01,8.8320E-01,8.8510E-01,8.8983E-01,9.1035E-01,9.1338E-01,9.2383E-01,9.2413E-01,9.4127E-01,9.4488E-01,9.7867E-01,1.0301E+00,1.0887E+00,1.1328E+00,1.1426E+00,1.1524E+00,1.1524E+00,1.0977E+00,,,,,,,,,,,,,,,,,
Fe(OH)2_pcss_out,2.2798E-01,2.2798E-01,2.2798E-01,2.2798E-01,2.2798E-01,2.2797E-01,2.2790E-01,2.2721E-01,2.2052E-01,1.8787E-01,1.7389E-01,1.5534E-01,1.5409E-01,1.5128E-01,1.5127E-01,1.4969E-01,1.4923E-01,1.4632E-01,1.4722E-01,1.4290E-01,1.2209E-01,1.1656E-01,1.1089E-01,1.1088E-01,9.8225E-02,,,,,,,,,,,,,,,,,
IDEAL-OLIVINE_out,,,,,,,,,,,,,,,,,,,,,,,8.0176E-03,8.2411E-03,3.3733E-01,3.6216E+00,3.6295E+00,3.6869E+00,3.6896E+00,3.7175E+00,3.8229E+00,3.8631E+00,3.8633E+00,3.8781E+00,5.6203E+00,5.9464E+00,5.9472E+00,5.9475E+00,5.9483E+00,5.9524E+00,5.9553E+00,5.9553E+00
FAYALITE_pcss_out,,,,,,,,,,,,,,,,,,,,,,,1.8657E-03,1.9177E-03,7.3988E-02,4.6008E-01,4.6136E-01,4.7009E-01,4.7003E-01,4.6793E-01,4.2095E-01,4.0179E-01,4.0180E-01,4.0253E-01,4.7294E-01,4.8495E-01,4.8498E-01,4.8499E-01,4.8502E-01,4.8516E-01,4.8895E-01,4.8895E-01
FORSTERITE_pcss_out,,,,,,,,,,,,,,,,,,,,,,,6.1518E-03,6.3234E-03,2.6334E-01,3.1615E+00,3.1681E+00,3.2168E+00,3.2195E+00,3.2496E+00,3.4020E+00,3.4613E+00,3.4615E+00,3.4756E+00,5.1473E+00,5.4615E+00,5.4622E+00,5.4625E+00,5.4633E+00,5.4673E+00,5.4663E+00,5.4663E+00
TALC-SS_out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1745E-04,4.5002E-04,2.8464E-03,2.8546E-01,3.3758E-01,3.3772E-01,3.3776E-01,3.3790E-01,3.3861E-01,3.3788E-01,3.3788E-01
TALC_pcss_out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1740E-04,4.4998E-04,2.8461E-03,2.8543E-01,3.3755E-01,3.3769E-01,3.3773E-01,3.3787E-01,3.3858E-01,3.3785E-01,3.3785E-01
MINNESOTAITE_pcss_out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3124E-08,4.6488E-08,2.9347E-07,2.4158E-05,2.8425E-05,2.8434E-05,2.8437E-05,2.8447E-05,2.8494E-05,3.1705E-05,3.1705E-05
