Variables,Step0,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39
Mg+2,1.1230E+00,1.1230E+00,1.1230E+00,1.1230E+00,1.1230E+00,1.1230E+00,1.1227E+00,1.1191E+00,1.0750E+00,1.0315E+00,8.8516E-01,8.6261E-01,7.7921E-01,7.7678E-01,6.3624E-01,6.2717E-01,4.7450E-01,3.4781E-01,2.2589E-01,1.9332E-01,1.3203E-01,1.0476E-01,1.0476E-01,1.0195E-01,8.7832E-02,8.7528E-02,8.4247E-02,8.3794E-02,8.0326E-02,7.2018E-02,9.8369E-02,9.8370E-02,9.8393E-02,1.0367E-01,1.1041E-01,1.1041E-01,1.1042E-01,1.1041E-01,1.3648E-01,1.3648E-01
Ca+2,5.4266E-01,5.4266E-01,5.4266E-01,5.4266E-01,5.4267E-01,5.4271E-01,5.4311E-01,5.4662E-01,5.4977E-01,5.3739E-01,4.6904E-01,4.5671E-01,4.0649E-01,4.0485E-01,3.1347E-01,3.0788E-01,2.2043E-01,1.5398E-01,9.3070E-02,7.7768E-02,5.0984E-02,4.0460E-02,4.0459E-02,3.9446E-02,3.4466E-02,3.4369E-02,3.3361E-02,3.3228E-02,3.2277E-02,3.8481E-02,7.5265E-02,7.5266E-02,7.5290E-02,8.1161E-02,9.0502E-02,9.0503E-02,9.0504E-02,9.0497E-02,1.3039E-01,1.3039E-01
K+,4.7715E-01,4.7715E-01,4.7715E-01,4.7715E-01,4.7715E-01,4.7715E-01,4.7709E-01,4.7651E-01,4.7205E-01,4.6845E-01,4.5648E-01,4.5453E-01,4.4786E-01,4.4772E-01,4.3626E-01,4.3521E-01,4.1031E-01,3.8678E-01,3.6856E-01,3.6397E-01,3.5492E-01,3.5064E-01,3.5064E-01,3.4710E-01,3.1948E-01,3.1938E-01,3.1828E-01,3.1817E-01,3.1732E-01,3.1520E-01,3.1816E-01,3.1816E-01,3.1811E-01,3.0485E-01,3.0108E-01,3.0107E-01,3.0107E-01,3.0103E-01,3.0204E-01,3.0204E-01
CaCl+,3.5985E-01,3.5985E-01,3.5985E-01,3.5985E-01,3.5987E-01,3.6001E-01,3.6147E-01,3.7612E-01,4.7105E-01,5.3363E-01,6.9710E-01,7.1930E-01,7.9159E-01,7.9324E-01,8.9178E-01,8.9839E-01,1.0163E+00,1.1176E+00,1.2053E+00,1.2257E+00,1.2607E+00,1.2774E+00,1.2774E+00,1.2687E+00,1.1902E+00,1.1902E+00,1.1909E+00,1.1912E+00,1.1937E+00,1.2342E+00,1.2679E+00,1.2679E+00,1.2677E+00,1.2158E+00,1.1999E+00,1.1999E+00,1.1999E+00,1.1997E+00,1.1922E+00,1.1922E+00
Na+,2.5472E-01,2.5472E-01,2.5472E-01,2.5472E-01,2.5472E-01,2.5466E-01,2.5414E-01,2.4897E-01,2.2172E-01,2.0841E-01,1.8400E-01,1.8137E-01,1.7393E-01,1.7381E-01,1.6341E-01,1.6252E-01,1.4600E-01,1.3818E-01,1.3716E-01,1.3740E-01,1.3822E-01,1.3908E-01,1.3908E-01,1.3846E-01,1.3208E-01,1.3207E-01,1.3198E-01,1.3199E-01,1.3204E-01,1.3552E-01,1.3985E-01,1.3985E-01,1.3983E-01,1.3479E-01,1.3353E-01,1.3353E-01,1.3352E-01,1.3351E-01,1.3421E-01,1.3421E-01
"NaCl,aq",2.1062E-01,2.1062E-01,2.1062E-01,2.1062E-01,2.1062E-01,2.1067E-01,2.1117E-01,2.1602E-01,2.4145E-01,2.5380E-01,2.7654E-01,2.7902E-01,2.8617E-01,2.8630E-01,2.9657E-01,2.9745E-01,3.1390E-01,3.2335E-01,3.2795E-01,3.2881E-01,3.2983E-01,3.2949E-01,3.2948E-01,3.2521E-01,2.9211E-01,2.9205E-01,2.9148E-01,2.9145E-01,2.9120E-01,2.8656E-01,2.8180E-01,2.8180E-01,2.8175E-01,2.6830E-01,2.6388E-01,2.6388E-01,2.6387E-01,2.6383E-01,2.6315E-01,2.6315E-01
Mg(For)+,1.8196E-01,1.8196E-01,1.8196E-01,1.8196E-01,1.8196E-01,1.8198E-01,1.8217E-01,1.8397E-01,1.9149E-01,1.9310E-01,1.8871E-01,1.8739E-01,1.8228E-01,1.8216E-01,1.7213E-01,1.7122E-01,1.4679E-01,1.0870E-01,5.7261E-02,4.2603E-02,1.7810E-02,9.1899E-03,9.1887E-03,7.0779E-03,9.7873E-04,9.3980E-04,5.8941E-04,5.6511E-04,3.9893E-04,1.9251E-05,3.2392E-06,3.2385E-06,3.2262E-06,7.7039E-07,2.8756E-08,2.8752E-08,2.8744E-08,2.8694E-08,2.3334E-08,2.3334E-08
"MgCO3,aq",5.1010E-02,5.1010E-02,5.1010E-02,5.1009E-02,5.1005E-02,5.0964E-02,5.0556E-02,4.6578E-02,2.6322E-02,1.7362E-02,5.1039E-03,4.2645E-03,2.3973E-03,2.3697E-03,1.0282E-03,9.6069E-04,2.1928E-04,4.7309E-05,9.0090E-06,5.2889E-06,1.4757E-06,6.5140E-07,6.5138E-07,6.0129E-07,3.4438E-07,3.3556E-07,2.4986E-07,2.3902E-07,1.6594E-07,7.5807E-09,1.2095E-09,1.2095E-09,1.2087E-09,1.0236E-09,8.7964E-10,8.7962E-10,8.7956E-10,8.7939E-10,6.0915E-10,6.0915E-10
"CaCO3,aq",3.1076E-02,3.1076E-02,3.1076E-02,3.1076E-02,3.1075E-02,3.1064E-02,3.0956E-02,2.9820E-02,2.1450E-02,1.6042E-02,6.0807E-03,5.2319E-03,3.1672E-03,3.1322E-03,1.4321E-03,1.3459E-03,3.5860E-04,8.8293E-05,1.7635E-05,1.0350E-05,2.8802E-06,1.2957E-06,1.2956E-06,1.2020E-06,7.1425E-07,6.9673E-07,5.2621E-07,5.0451E-07,3.5767E-07,2.4881E-08,6.9240E-09,6.9238E-09,6.9209E-09,6.2197E-09,5.7988E-09,5.7987E-09,5.7984E-09,5.7972E-09,5.1879E-09,5.1879E-09
"Mg(For)2,aq",2.1100E-02,2.1100E-02,2.1100E-02,2.1100E-02,2.1100E-02,2.1102E-02,2.1122E-02,2.1303E-02,2.1821E-02,2.1649E-02,2.0096E-02,1.9819E-02,1.8939E-02,1.8925E-02,1.7974E-02,1.7892E-02,1.5149E-02,9.6232E-03,3.2220E-03,1.9146E-03,4.0236E-04,1.2069E-04,1.2066E-04,7.2682E-05,1.5258E-06,1.4098E-06,5.6761E-07,5.2349E-07,2.6779E-07,6.8642E-10,1.6705E-11,1.6698E-11,1.6570E-11,9.3023E-13,1.2602E-15,1.2599E-15,1.2592E-15,1.2549E-15,7.4528E-16,7.4528E-16
