C1,5.0485E-04,0.000,2.1665E-02,0.5190,4.7459E-07,2.3005E-03,4.5452E-11,9.8020E-03,1.0264E-03,0.4641,1.5522E-05,
C1,5.0486E-04,0.000,2.1665E-02,0.5190,4.7476E-07,2.3005E-03,4.5519E-11,9.8020E-03,1.0261E-03,0.4641,1.5559E-05,
C1,5.1578E-04,0.000,2.1913E-02,0.5190,5.7139E-07,2.3005E-03,1.2315E-10,9.8021E-03,7.1686E-04,0.4641,9.6941E-05,
C1,5.4731E-04,0.000,2.2629E-02,0.5190,1.0897E-07,2.3005E-03,2.9114E-11,9.8022E-03,6.8170E-05,0.4641,5.6198E-04,
C1,5.6543E-04,0.000,2.2734E-02,0.5190,7.4099E-08,2.3005E-03,1.1900E-11,9.8022E-03,4.0067E-05,0.4641,4.0356E-04,
C1,7.7387E-04,0.000,2.2734E-02,0.5190,1.0078E-07,2.3005E-03,1.2079E-11,9.8022E-03,3.9658E-05,0.4641,4.1071E-04,
C1,1.0000E-03,0.000,2.2733E-02,0.5190,1.2960E-07,2.3005E-03,1.2279E-11,9.8022E-03,3.9217E-05,0.4641,4.1869E-04,
C1,2.9491E-03,0.000,2.2733E-02,0.5190,3.6945E-07,2.3005E-03,1.4210E-11,9.8022E-03,3.5593E-05,0.4641,4.9606E-04,
C1,3.1794E-03,0.000,2.2733E-02,0.5190,3.9619E-07,2.3005E-03,1.4459E-11,9.8022E-03,3.5198E-05,0.4641,5.0602E-04,
C1,3.7934E-03,0.000,2.2734E-02,0.5190,4.3994E-07,2.3005E-03,1.4759E-11,9.8021E-03,3.4802E-05,0.4641,5.1752E-04,
C1,9.5462E-03,0.000,2.2751E-02,0.5190,7.3267E-07,2.3002E-03,1.6999E-11,9.8007E-03,3.2326E-05,0.4640,6.0261E-04,
C1,1.0000E-02,0.000,2.2753E-02,0.5190,7.5124E-07,2.3001E-03,1.7157E-11,9.8005E-03,3.2177E-05,0.4640,6.0861E-04,
C1,1.1852E-02,0.000,2.2759E-02,0.5190,8.2343E-07,2.3000E-03,1.7797E-11,9.8001E-03,3.1601E-05,0.4640,6.3271E-04,
C1,1.4943E-02,0.000,2.2760E-02,0.5190,9.7398E-07,2.3000E-03,2.2819E-11,9.8001E-03,2.6843E-05,0.4640,8.4351E-04,
C1,4.7008E-02,0.000,2.2907E-02,0.5194,1.3339E-06,2.3000E-03,3.5161E-11,9.8001E-03,2.1401E-05,0.4640,1.3504E-03,
C1,0.1000,0.000,2.3188E-02,0.5199,1.4312E-06,2.3000E-03,3.8045E-11,9.8002E-03,2.0868E-05,0.4640,1.4721E-03,
C1,0.2000,0.000,2.3724E-02,0.5210,1.4939E-06,2.3001E-03,3.9078E-11,9.8003E-03,2.0987E-05,0.4640,1.5298E-03,
C1,0.3000,0.000,2.4261E-02,0.5221,1.5317E-06,2.3001E-03,3.9214E-11,9.8004E-03,2.1302E-05,0.4640,1.5525E-03,
C1,0.4000,0.000,2.4799E-02,0.5232,1.5632E-06,2.3001E-03,3.9137E-11,9.8005E-03,2.1662E-05,0.4640,1.5667E-03,
